Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2
18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4
10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0
09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0
02.10.2024,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",100,180.0
24.9.2024,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",16,28.8
23.9.2024,"1.800,00","1.800,00","1.800,00","1.800,00","1,69",94,169.2
20.9.2024,"1.770,00","1.770,00","1.770,00","1.770,00","4,12",135,238.95
19.9.2024,"1.700,00","1.700,00","1.700,00","1.700,00","3,28",200,340.0
18.9.2024,"1.646,00","1.646,00","1.646,00","1.646,00","0,00",10,16.46
17.9.2024,"1.646,00","1.646,00","1.646,00","1.646,00","0,00",265,436.19
13.9.2024,"1.646,00","1.646,00","1.646,00","1.646,00","2,88",120,197.52
26.8.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-0,62",150,240.0
23.8.2024,"1.610,00","1.610,00","1.610,00","1.610,00","-2,37",83,133.63
14.8.2024,"1.649,00","1.649,00","1.649,00","1.649,00","9,57",15,24.735
13.8.2024,"1.505,00","1.505,00","1.505,00","1.505,00","0,33",100,150.5
07.8.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",200,300.0
30.7.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",240,360.0
29.7.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",600,900.0
12.7.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",368,552.0
10.7.2024,"1.500,00","1.500,00","1.500,00","1.500,00","-6,25",600,900.0
27.6.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-5,33",200,320.0
29.5.2024,"1.690,00","1.690,00","1.690,00","1.690,00","0,12",50,84.5
17.5.2024,"1.688,00","1.688,00","1.688,00","1.688,00","-0,53",76,128.288
14.5.2024,"1.697,00","1.697,00","1.697,00","1.697,00","41,42",50,84.85
05.2.2024,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",153,183.6
31.1.2024,"1.200,00","1.200,00","1.200,00","1.200,00","20,00",295,354.0
19.12.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",100,100.0
29.11.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",600,600.0
13.11.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",260,260.0
09.11.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",200,200.0
05.10.2023,"1.000,00","1.000,00","1.000,00","1.000,00","15,61",100,100.0
11.7.2023,"865,00","865,00","865,00","865,00","1,76",70,60.55
06.7.2023,"850,00","850,00","850,00","850,00","17,73",100,85.0
14.2.2023,"722,00","722,00","722,00","722,00","-14,05",505,364.61
20.1.2023,"840,00","840,00","840,00","840,00","0,00",95,79.8
23.12.2022,"840,00","840,00","840,00","840,00","2,94",120,100.8
16.12.2022,"816,00","816,00","816,00","816,00","0,12",400,326.4
23.11.2022,"815,00","815,00","815,00","815,00","0,00",200,163.0
21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200
