Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
31.5.2023,"350,00","350,00","350,00","350,00","-22,22",174.0,60.9
05.1.2023,"450,00","450,00","450,00","450,00","-25,00",30.0,13.5
04.11.2022,"600,00","600,00","600,00","600,00","33,33",6.0,3.6
08.6.2022,"450,00","450,00","450,00","450,00","-25,00",48.0,21.6
05.1.2022,"600,00","600,00","600,00","600,00","0,00",14.0,8.4
15.7.2021,"600,00","600,00","600,00","600,00","-14,29",6.0,3.6
21.5.2019,"700,00","700,00","700,00","700,00","0,00",1.395,976.5
20.5.2019,"700,00","700,00","700,00","700,00","0,00",600.0,420.0
17.5.2019,"700,00","700,00","700,00","700,00","0,00",136.0,95.2
20.3.2019,"700,00","700,00","700,00","700,00","0,00",182.0,127.4
08.11.2018,"700,00","700,00","700,00","700,00","0,00",64.0,44.8
02.11.2018,"700,00","700,00","700,00","700,00","16,67",95.0,66.5
20.4.2018,"600,00","600,00","600,00","600,00","0,00",157.0,94.2
19.2.2018,"600,00","600,00","600,00","600,00","15,38",750.0,450.0
02.11.2017,"520,00","520,00","520,00","520,00","30,00",16.0,8.32
07.9.2017,"400,00","400,00","400,00","400,00","-34,96",8.0,3.2
01.3.2017,"615,00","615,00","615,00","615,00","0,00",344.0,211.56
25.12.2014,"615,00","615,00","615,00","615,00","2,50",5.0,3.075
