Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
07.8.2024,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",41,49.2
06.12.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",9,10.8
10.11.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",19,22.8
12.6.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",12,14.4
10.4.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",14,16.8
23.1.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",35,42.0
18.1.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",7,8.4
03.1.2023,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",102,122.4
07.11.2022,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",19,22.8
16.9.2022,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",22,26.4
11.8.2017,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",55,66.0
16.1.2017,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",65,78.0
07.8.2024,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",41,49.200
