Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
27.3.2024,"3.168,00","3.168,00","3.168,00","3.168,00","0,00",20,63.36
22.3.2024,"3.168,00","3.168,00","3.168,00","3.168,00","2,99",20,63.36
20.3.2024,"3.076,00","3.076,00","3.076,00","3.076,00","2,98",21,64.596
27.12.2023,"2.987,00","2.987,00","2.987,00","2.987,00","3,00",20,59.74
09.9.2021,"2.900,00","2.900,00","2.900,00","2.900,00","-12,15",115,333.5
09.3.2021,"3.301,00","3.301,00","3.301,00","3.301,00","0,00",100,330.1
29.12.2020,"3.301,00","3.301,00","3.301,00","3.301,00","3,74",18,59.418
23.12.2020,"3.182,00","3.182,00","3.182,00","3.182,00","2,98",40,127.28
17.12.2020,"3.090,00","3.090,00","3.090,00","3.090,00","3,00",42,129.78
27.11.2020,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",15,45.0
26.11.2020,"3.000,00","3.000,00","3.000,00","3.000,00","-0,33",40,120.0
21.3.2019,"3.010,00","3.010,00","3.010,00","3.010,00","5,58",1,3.01
06.2.2019,"2.851,00","2.851,00","2.851,00","2.851,00","-12,97",1,2.851
04.9.2018,"3.276,00","3.276,00","3.276,00","3.276,00","12,54",36,117.936
05.6.2018,"2.911,00","2.911,00","2.911,00","2.911,00","-2,97",5,14.555
22.5.2018,"3.000,00","3.000,00","3.000,00","3.000,00","7,26",29,87.0
05.4.2018,"2.797,00","2.797,00","2.797,00","2.797,00","2,98",116,324.452
14.3.2018,"2.716,00","2.716,00","2.716,00","2.716,00","-3,00",31,84.196
14.11.2017,"2.800,00","2.800,00","2.800,00","2.800,00","-10,88",1,2.8
08.6.2017,"3.142,00","3.142,00","3.142,00","3.142,00","-2,99",3,9.426
02.11.2016,"3.239,00","3.239,00","3.239,00","3.239,00","2,99",97,314.183
27.3.2024,"3.168,00","3.168,00","3.168,00","3.168,00","0,00",20,63.360
