Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
16.6.2023,"6.984,00","6.984,00","6.984,00","6.984,00","-3,00",104,726.336
08.5.2019,"7.200,00","7.200,00","7.200,00","7.200,00","14,29",10,72.0
07.5.2019,"6.300,00","6.300,00","6.300,00","6.300,00","5,00",11,69.3
01.8.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",24,144.0
10.5.2018,"6.000,00","6.000,00","6.000,00","6.000,00","20,00",15,90.0
02.2.2018,"5.000,00","5.000,00","5.000,00","5.000,00","-16,67",3,15.0
04.10.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.0
29.9.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.0
29.5.2017,"6.000,00","6.000,00","6.000,00","6.000,00","9,09",7,42.0
07.9.2016,"5.500,00","5.500,00","5.500,00","5.500,00","8,80",10,55.0
18.8.2016,"5.055,00","5.055,00","5.055,00","5.055,00","-8,59",10,50.55
22.6.2016,"5.530,00","5.530,00","5.530,00","5.530,00","-23,21",10,55.3
03.3.2016,"7.201,00","7.201,00","7.201,00","7.201,00","-9,99",11,79.211
26.2.2016,"8.000,00","8.000,00","8.000,00","8.000,00","-0,01",12,96.0
22.2.2016,"8.001,00","8.001,00","8.001,00","8.001,00","45,47",10,80.01
04.2.2016,"5.500,00","5.500,00","5.500,00","5.500,00","0,00",10,55.0
13.2.2015,"5.500,00","5.500,00","5.500,00","5.500,00","0,00",4,22.0
12.2.2015,"5.500,00","5.500,00","5.500,00","5.500,00","-6,78",8,44.0
11.2.2015,"5.900,00","5.900,00","5.900,00","5.900,00","0,00",21,123.9
06.2.2015,"5.900,00","5.900,00","5.900,00","5.900,00","0,34",50,295.0
