Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
27.3.2023,"2.101,00","2.101,00","2.101,00","2.101,00","16,72",38.0,79.838
04.1.2023,"1.800,00","1.800,00","1.800,00","1.800,00","-0,06",41.0,73.800
15.6.2022,"1.801,00","1.801,00","1.801,00","1.801,00","14,86",139.0,250.339
04.5.2021,"1.568,00","1.568,00","1.568,00","1.568,00","4,53",25.0,39.200
02.4.2021,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",103.0,154.500
01.4.2021,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",310.0,465.000
31.3.2021,"1.500,00","1.500,00","1.500,00","1.500,00","25,00",200.0,300.000
05.2.2021,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",11.0,13.200
23.6.2020,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",164.0,196.800
08.5.2020,"1.200,00","1.200,00","1.200,00","1.200,00","11,11",300.0,360.000
27.4.2020,"1.080,00","1.080,00","1.080,00","1.080,00","-10,00",141.0,152.280
20.2.2020,"1.200,00","1.200,00","1.200,00","1.200,00","9,09",198.0,237.600
06.11.2019,"1.100,00","1.100,00","1.100,00","1.100,00","-8,33",100.0,110.000
10.9.2019,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",10.0,12.000
31.7.2019,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",125.0,150.000
22.5.2019,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",116.0,139.200
17.5.2019,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",830.0,996.000
16.5.2019,"1.200,00","1.200,00","1.200,00","1.200,00","20,00",245.0,294.000
19.3.2019,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",215.0,215.000
11.3.2019,"1.000,00","1.000,00","1.000,00","1.000,00","-28,57",258.0,258.000
24.12.2018,"1.400,00","1.400,00","1.400,00","1.400,00","0,07",2.106,2.948.400
21.12.2018,"1.399,00","1.399,00","1.399,00","1.399,00","16,58",6.0,8.394
19.12.2018,"1.200,00","1.200,00","1.200,00","1.200,00","33,33",400.0,480.000
31.10.2018,"900,00","900,00","900,00","900,00","0,00",176.0,158.400
15.11.2017,"900,00","900,00","900,00","900,00","-10,00",886.0,797.400
10.3.2017,"1.000,00","1.000,00","1.000,00","1.000,00","-9,09",5.0,5.000
09.3.2017,"1.100,00","1.100,00","1.100,00","1.100,00","-8,33",100.0,110.000
23.2.2017,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",184.0,220.800
16.2.2017,"1.200,00","1.200,00","1.200,00","1.200,00","4,35",136.0,163.200
27.1.2017,"1.150,00","1.150,00","1.150,00","1.150,00","-4,17",30.0,34.500
27.12.2016,"1.200,00","1.200,00","1.200,00","1.200,00","-16,67",161.0,193.200
22.12.2016,"1.440,00","1.440,00","1.440,00","1.440,00","20,00",871.0,1.254.240
20.12.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",1.194,1.432.800
19.12.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",4.427,5.312.400
22.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",390.0,468.000
17.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",546.0,655.200
14.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",931.0,1.117.200
10.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",313.0,375.600
08.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",363.0,435.600
27.10.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",225.0,270.000
22.8.2016,"1.200,00","1.200,00","1.200,00","1.200,00","20,00",8.0,9.600
13.6.2016,"1.000,00","1.000,00","1.000,00","1.000,00","25,00",254.0,254.000
03.11.2015,"800,00","800,00","800,00","800,00","11,11",102.0,81.600
15.9.2015,"720,00","720,00","720,00","720,00","18,42",98.0,70.560
28.5.2015,"608,00","608,00","608,00","608,00","0,83",122.0,74.176
27.5.2015,"603,00","603,00","603,00","603,00","20,60",121.0,72.963
28.4.2015,"500,00","500,00","500,00","500,00","0,00",14.0,7.000
01.4.2015,"500,00","500,00","500,00","500,00","0,00",130.0,65.000
27.2.2015,"500,00","500,00","500,00","500,00","0,00",43.0,21.500
21.1.2015,"500,00","500,00","500,00","500,00","0,00",60.0,30.000
12.11.2014,"500,00","500,00","500,00","500,00","0,00",120.0,60.000
