Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
09.3.2023,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",10,92.400
22.12.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",25,231.000
20.10.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",60,554.400
10.10.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",84,776.160
04.10.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",91,840.840
26.9.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",18,166.320
16.8.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",29,267.960
01.6.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",10,92.400
30.5.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",168,1.552.320
02.3.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",130,1.201.200
10.6.2021,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",61,563.640
01.3.2021,"9.240,00","9.240,00","9.240,00","9.240,00","29,96",103,951.720
06.9.2018,"7.110,00","7.110,00","7.110,00","7.110,00","-2,99",40,284.400
27.5.2015,"7.329,00","7.329,00","7.329,00","7.329,00","0,00",10,73.290
03.3.2015,"7.329,00","7.329,00","7.329,00","7.329,00","-2,99",13,95.277
28.11.2014,"7.555,00","7.555,00","7.555,00","7.555,00","7,01",24,181.320
27.11.2014,"7.060,00","7.060,00","7.060,00","7.060,00","8,62",35,247.100
