Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
03.10.2024,"310,00","310,00","310,00","310,00","0,00",33.0,10.23
21.12.2023,"310,00","310,00","310,00","310,00","0,00",42.0,13.02
01.12.2023,"310,00","310,00","310,00","310,00","0,00",127.0,39.37
16.11.2022,"310,00","310,00","310,00","310,00","0,00",233.0,72.23
07.4.2022,"310,00","310,00","310,00","310,00","0,00",158.0,48.98
27.5.2021,"310,00","310,00","310,00","310,00","0,00",159.0,49.29
09.5.2018,"310,00","310,00","310,00","310,00","0,00",1.625,503.75
10.12.2014,"310,00","310,00","310,00","310,00","0,00",176.0,54.56
24.11.2014,"310,00","310,00","310,00","310,00","0,00",55.0,17.05
03.10.2024,"310,00","310,00","310,00","310,00","0,00",33,10.230
