Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
08.11.2024,"1.650,00","1.650,00","1.630,00","1.645,87","2,48",63.0,103.690
07.11.2024,"1.631,00","1.631,00","1.600,00","1.606,01","0,38",1.234,1.981.820
06.11.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-0,83",370.0,592.000
05.11.2024,"1.590,00","1.630,00","1.590,00","1.613,33","-1,02",84.0,135.520
04.11.2024,"1.630,00","1.630,00","1.630,00","1.630,00","1,88",100.0,163.000
31.10.2024,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",268.0,428.800
30.10.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-1,84",88.0,140.800
29.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,68",10.0,16.300
25.10.2024,"1.600,00","1.630,00","1.600,00","1.619,05","-0,80",494.0,799.810
24.10.2024,"1.670,00","1.670,00","1.630,00","1.632,16","0,13",185.0,301.950
22.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,00",100.0,163.000
21.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,00",120.0,195.600
18.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","1,82",250.0,407.500
17.10.2024,"1.601,00","1.601,00","1.600,00","1.600,94","-1,42",116.0,185.709
16.10.2024,"1.600,00","1.630,00","1.600,00","1.623,94","1,46",297.0,482.310
14.10.2024,"1.600,00","1.601,00","1.600,00","1.600,62","-1,80",162.0,259.300
10.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,00",10.0,16.300
09.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,00",200.0,326.000
08.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","1,88",57.0,92.910
04.10.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-2,99",15.0,24.000
03.10.2024,"1.650,00","1.650,00","1.639,00","1.649,25","0,60",1.02,1.682.230
02.10.2024,"1.649,00","1.698,00","1.600,00","1.639,34","-6,86",2.44,3.999.992
24.9.2024,"1.760,00","1.760,00","1.760,00","1.760,00","-2,17",25.0,44.000
20.9.2024,"1.799,00","1.799,00","1.799,00","1.799,00","1,80",200.0,359.800
19.9.2024,"1.799,00","1.800,00","1.640,00","1.767,14","7,19",495.0,874.735
16.9.2024,"1.679,00","1.679,00","1.600,00","1.648,59","1,12",439.0,723.730
13.9.2024,"1.600,00","1.648,00","1.600,00","1.630,31","1,89",293.0,477.680
12.9.2024,"1.600,00","1.600,00","1.600,00","1.600,00","0,06",117.0,187.200
11.9.2024,"1.600,00","1.600,00","1.590,00","1.599,12","-0,06",400.0,639.650
06.9.2024,"1.600,00","1.600,00","1.600,00","1.600,00","2,20",30.0,48.000
05.9.2024,"1.590,00","1.590,00","1.550,00","1.565,60","0,04",444.0,695.125
04.9.2024,"1.565,00","1.565,00","1.565,00","1.565,00","0,00",5.68,8.889.200
03.9.2024,"1.565,00","1.565,00","1.565,00","1.565,00","0,00",4.883,7.641.895
02.9.2024,"1.565,00","1.565,00","1.565,00","1.565,00","2,94",77.0,120.505
30.8.2024,"1.551,00","1.551,00","1.505,00","1.520,33","0,95",75.0,114.025
29.8.2024,"1.546,00","1.546,00","1.501,00","1.505,99","0,33",477.0,718.359
27.8.2024,"1.500,00","1.510,00","1.500,00","1.501,00","0,07",100.0,150.100
26.8.2024,"1.500,00","1.500,00","1.500,00","1.500,00","1,35",60.0,90.000
23.8.2024,"1.500,00","1.500,00","1.410,00","1.480,00","1,72",90.0,133.200
22.8.2024,"1.455,00","1.455,00","1.455,00","1.455,00","-2,99",525.0,763.875
20.8.2024,"1.500,00","1.500,00","1.499,00","1.499,81","-0,01",268.0,401.950
16.8.2024,"1.500,00","1.500,00","1.500,00","1.500,00","7,14",8.0,12.000
15.8.2024,"1.400,00","1.400,00","1.400,00","1.400,00","0,00",208.0,291.200
14.8.2024,"1.400,00","1.400,00","1.400,00","1.400,00","-2,78",15.0,21.000
13.8.2024,"1.440,00","1.440,00","1.440,00","1.440,00","0,00",200.0,288.000
12.8.2024,"1.440,00","1.440,00","1.440,00","1.440,00","0,00",180.0,259.200
08.8.2024,"1.440,00","1.440,00","1.440,00","1.440,00","0,00",900.0,1.296.000
07.8.2024,"1.440,00","1.440,00","1.440,00","1.440,00","0,00",954.0,1.373.760
06.8.2024,"1.440,00","1.440,00","1.440,00","1.440,00","-0,02",320.0,460.800
01.8.2024,"1.441,00","1.441,00","1.440,00","1.440,36","0,02",313.0,450.833
31.7.2024,"1.440,00","1.440,00","1.440,00","1.440,00","0,00",90.0,129.600
30.7.2024,"1.440,00","1.440,00","1.440,00","1.440,00","0,00",116.0,167.040
