Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
12.9.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.0
12.6.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0
03.6.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",7,21.0
29.5.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0
14.3.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",13,39.0
19.2.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.0
26.12.2023,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",15,45.0
01.3.2023,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0
09.1.2023,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",11,33.0
05.9.2022,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0
14.6.2022,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0
09.6.2021,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",13,39.0
24.2.2021,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0
24.12.2019,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.0
19.3.2019,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.0
25.2.2019,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",6,18.0
04.12.2018,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0
21.11.2018,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",16,48.0
22.5.2018,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0
15.2.2018,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",8,24.0
20.6.2017,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0
11.1.2017,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0
22.12.2016,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0
11.5.2016,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0
06.7.2015,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",16,48.0
12.9.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.000
