Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
03.8.2022,"4.500,00","4.500,00","4.500,00","4.500,00","0,00",128,576.0
22.3.2021,"4.500,00","4.500,00","4.500,00","4.500,00","200,00",16,72.0
05.8.2020,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",80,120.0
09.3.2020,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",116,174.0
25.2.2020,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",3,4.5
05.2.2020,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",190,285.0
27.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",13,19.5
17.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",62,93.0
13.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",4,6.0
10.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",182,273.0
02.12.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",150,225.0
25.11.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",224,336.0
22.11.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",449,673.5
06.11.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",73,109.5
05.11.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",183,274.5
31.10.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",194,291.0
29.10.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",55,82.5
25.10.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",484,726.0
10.10.2019,"1.500,00","1.500,00","1.500,00","1.500,00","141,94",224,336.0
01.10.2019,"620,00","620,00","620,00","620,00","0,00",161,99.82
03.11.2016,"620,00","620,00","620,00","620,00","0,00",50,31.0
06.4.2016,"620,00","620,00","620,00","620,00","0,00",129,79.98
