Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
28.6.2024,"1.200,00","1.200,00","1.200,00","1.200,00","-3,61",15,18.0
31.5.2024,"1.245,00","1.245,00","1.245,00","1.245,00","0,00",55,68.475
30.5.2024,"1.245,00","1.245,00","1.245,00","1.245,00","0,24",60,74.7
28.5.2024,"1.242,00","1.242,00","1.242,00","1.242,00","0,40",10,12.42
14.3.2024,"1.237,00","1.237,00","1.237,00","1.237,00","0,00",7,8.659
06.2.2024,"1.237,00","1.237,00","1.237,00","1.237,00","0,00",47,58.139
06.11.2023,"1.237,00","1.237,00","1.237,00","1.237,00","0,00",6,7.422
10.10.2023,"1.237,00","1.237,00","1.237,00","1.237,00","0,00",10,12.37
05.10.2023,"1.237,00","1.237,00","1.237,00","1.237,00","0,00",63,77.931
30.8.2023,"1.237,00","1.237,00","1.237,00","1.237,00","0,00",90,111.33
15.6.2023,"1.237,00","1.237,00","1.237,00","1.237,00","0,08",36,44.532
23.5.2023,"1.236,00","1.236,00","1.236,00","1.236,00","0,00",16,19.776
11.5.2023,"1.236,00","1.236,00","1.236,00","1.236,00","-1,12",50,61.8
02.5.2023,"1.250,00","1.250,00","1.250,00","1.250,00","-0,08",30,37.5
24.4.2023,"1.251,00","1.251,00","1.251,00","1.251,00","1,13",7,8.757
05.4.2023,"1.237,00","1.237,00","1.237,00","1.237,00","0,08",56,69.272
22.3.2023,"1.236,00","1.236,00","1.236,00","1.236,00","0,00",129,159.444
27.2.2023,"1.236,00","1.236,00","1.236,00","1.236,00","0,00",51,63.036
22.2.2023,"1.236,00","1.236,00","1.236,00","1.236,00","0,00",20,24.72
07.2.2023,"1.236,00","1.236,00","1.236,00","1.236,00","3,00",737,910.932
16.12.2022,"1.200,00","1.200,00","1.200,00","1.200,00","19,88",752,902.4
13.10.2022,"1.001,00","1.001,00","1.001,00","1.001,00","-16,58",30,30.03
01.6.2022,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",80,96.0
26.4.2022,"1.200,00","1.200,00","1.200,00","1.200,00","6,10",76,91.2
29.12.2021,"1.131,00","1.131,00","1.131,00","1.131,00","13,10",237,268.047
28.12.2021,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",500,500.0
12.11.2021,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",14,14.0
10.11.2021,"1.000,00","1.000,00","1.000,00","1.000,00","-20,70",47,47.0
10.7.2020,"1.261,00","1.261,00","1.261,00","1.261,00","-9,93",15,18.915
21.4.2020,"1.400,00","1.400,00","1.400,00","1.400,00","-15,20",202,282.8
14.1.2020,"1.651,00","1.651,00","1.651,00","1.651,00","3,19",216,356.616
30.12.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",200,320.0
07.11.2019,"1.600,00","1.600,00","1.600,00","1.600,00","3,16",25,40.0
05.9.2019,"1.551,00","1.551,00","1.551,00","1.551,00","-2,94",10,15.51
21.5.2019,"1.598,00","1.598,00","1.598,00","1.598,00","1,01",30,47.94
16.5.2019,"1.582,00","1.582,00","1.582,00","1.582,00","5,47",30,47.46
01.4.2019,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",11,16.5
25.1.2019,"1.500,00","1.500,00","1.500,00","1.500,00","-2,79",150,225.0
18.1.2019,"1.543,00","1.543,00","1.543,00","1.543,00","-2,96",30,46.29
08.1.2019,"1.590,00","1.590,00","1.590,00","1.590,00","2,58",85,135.15
25.12.2018,"1.550,00","1.550,00","1.550,00","1.550,00","-2,52",15,23.25
12.12.2018,"1.590,00","1.590,00","1.590,00","1.590,00","2,58",142,225.78
11.12.2018,"1.550,00","1.550,00","1.550,00","1.550,00","0,00",27,41.85
12.11.2018,"1.550,00","1.550,00","1.550,00","1.550,00","0,00",100,155.0
08.11.2018,"1.550,00","1.550,00","1.550,00","1.550,00","0,00",98,151.9
30.10.2018,"1.550,00","1.550,00","1.550,00","1.550,00","-0,06",100,155.0
22.10.2018,"1.551,00","1.551,00","1.551,00","1.551,00","6,23",60,93.06
