Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
04.7.2024,"372,00","372,00","372,00","372,00","0,00",14.644,5.447.568
13.9.2023,"372,00","372,00","372,00","372,00","0,00",5.3,1.971.600
27.2.2023,"372,00","372,00","372,00","372,00","0,00",4.886,1.817.592
19.9.2022,"372,00","372,00","372,00","372,00","0,00",16.287,6.058.764
02.10.2018,"372,00","372,00","372,00","372,00","20,00",698.0,259.656
03.12.2015,"310,00","310,00","310,00","310,00","26,02",614.0,190.340
05.10.2015,"246,00","246,00","246,00","246,00","-38,50",514.0,126.444
01.10.2015,"400,00","400,00","400,00","400,00","36,52",471.0,188.400
30.9.2015,"293,00","293,00","293,00","293,00","-77,67",643.0,188.399
04.7.2024,"372,00","372,00","372,00","372,00","0,00",14.644,5.447.568
