Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
07.12.2020,"480,00","480,00","480,00","480,00","20,30",100.0,48.0
18.6.2020,"399,00","399,00","399,00","399,00","-0,25",140.0,55.86
13.5.2020,"400,00","400,00","400,00","400,00","0,00",162.0,64.8
02.9.2019,"400,00","400,00","400,00","400,00","0,00",1.0,400.0
02.7.2018,"400,00","400,00","400,00","400,00","-19,19",390.0,156.0
16.5.2017,"495,00","495,00","495,00","495,00","0,00",30.0,14.85
21.4.2016,"495,00","495,00","495,00","495,00","0,00",146.0,72.27
18.4.2016,"495,00","495,00","495,00","495,00","0,00",524.0,259.38
19.11.2015,"495,00","495,00","495,00","495,00","0,00",144.0,71.28
17.11.2015,"495,00","495,00","495,00","495,00","0,00",148.0,73.26
05.10.2015,"495,00","495,00","495,00","495,00","0,00",71.0,35.145
29.9.2015,"495,00","495,00","495,00","495,00","0,00",224.0,110.88
24.9.2015,"495,00","495,00","495,00","495,00","0,00",178.0,88.11
11.9.2015,"495,00","495,00","495,00","495,00","0,00",140.0,69.3
14.8.2015,"495,00","495,00","495,00","495,00","0,00",142.0,70.29
30.7.2015,"495,00","495,00","495,00","495,00","0,00",12.0,5.94
07.7.2015,"495,00","495,00","495,00","495,00","0,00",170.0,84.15
02.6.2015,"495,00","495,00","495,00","495,00","0,00",98.0,48.51
22.5.2015,"495,00","495,00","495,00","495,00","0,00",100.0,49.5
13.5.2015,"495,00","495,00","495,00","495,00","0,00",172.0,85.14
05.5.2015,"495,00","495,00","495,00","495,00","0,00",80.0,39.6
28.4.2015,"495,00","495,00","495,00","495,00","0,00",26.0,12.87
21.4.2015,"495,00","495,00","495,00","495,00","0,00",80.0,39.6
31.3.2015,"495,00","495,00","495,00","495,00","0,00",160.0,79.2
26.3.2015,"495,00","495,00","495,00","495,00","0,00",40.0,19.8
16.3.2015,"495,00","495,00","495,00","495,00","0,00",118.0,58.41
09.3.2015,"495,00","495,00","495,00","495,00","0,00",176.0,87.12
05.3.2015,"495,00","495,00","495,00","495,00","0,00",120.0,59.4
03.3.2015,"495,00","495,00","495,00","495,00","0,00",90.0,44.55
18.2.2015,"495,00","495,00","495,00","495,00","0,00",342.0,169.29
16.2.2015,"495,00","495,00","495,00","495,00","0,00",184.0,91.08
01.12.2014,"495,00","495,00","495,00","495,00","0,00",126.0,62.37
25.11.2014,"495,00","495,00","495,00","495,00","0,00",90.0,44.55
19.11.2014,"495,00","495,00","495,00","495,00","0,00",1.269,628.155
