Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
17.9.2024,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",10,120.000
13.9.2024,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",10,120.000
14.8.2024,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",39,468.000
02.7.2024,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",13,156.000
01.7.2024,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",6,72.000
12.6.2024,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",96,1.152.000
26.2.2024,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",41,492.000
13.11.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",2,24.000
10.11.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",98,1.176.000
09.11.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",20,240.000
06.11.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",99,1.188.000
31.10.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",2,24.000
26.10.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",136,1.632.000
20.10.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",92,1.104.000
19.10.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",101,1.212.000
18.10.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",142,1.704.000
17.10.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",40,480.000
16.10.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",50,600.000
03.10.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",70,840.000
25.9.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",98,1.176.000
21.9.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",144,1.728.000
19.9.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",65,780.000
18.9.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",8,96.000
14.9.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",2,24.000
13.9.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",301,3.612.000
12.9.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",108,1.296.000
06.9.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",81,972.000
25.8.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",68,816.000
15.8.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",2,24.000
14.8.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",28,336.000
11.8.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",79,948.000
10.8.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",20,240.000
25.7.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",95,1.140.000
18.7.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",18,216.000
17.7.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",30,360.000
04.7.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",20,240.000
03.7.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",50,600.000
05.6.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",54,648.000
01.6.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",40,480.000
25.5.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",31,372.000
16.5.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",50,600.000
15.5.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",35,420.000
02.5.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",70,840.000
26.4.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",20,240.000
20.4.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",65,780.000
31.3.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",16,192.000
17.3.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",5,60.000
07.3.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",5,60.000
16.1.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",30,360.000
10.1.2023,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",22,264.000
07.12.2022,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",6,72.000
