Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
25.10.2024,"150,00","150,00","150,00","150,00","0,00",50,7.5
25.9.2024,"150,00","150,00","150,00","150,00","-16,67",50,7.5
06.2.2023,"180,00","180,00","180,00","180,00","-10,00",135,24.3
16.6.2022,"200,00","200,00","200,00","200,00","-2,91",71,14.2
09.11.2021,"206,00","206,00","206,00","206,00","0,00",150,30.9
28.6.2021,"206,00","206,00","206,00","206,00","0,00",30,6.18
09.4.2021,"206,00","206,00","206,00","206,00","-17,60",35,7.21
10.3.2021,"250,00","250,00","250,00","250,00","25,00",30,7.5
09.2.2021,"200,00","200,00","200,00","200,00","48,15",54,10.8
13.10.2020,"135,00","135,00","135,00","135,00","27,36",91,12.285
04.9.2020,"106,00","106,00","106,00","106,00","0,00",15,1.59
03.9.2020,"106,00","106,00","106,00","106,00","0,00",32,3.392
06.5.2020,"106,00","106,00","106,00","106,00","0,00",33,3.498
17.2.2020,"106,00","106,00","106,00","106,00","6,00",60,6.36
17.12.2019,"100,00","100,00","100,00","100,00","-50,00",80,8.0
29.11.2019,"200,00","200,00","200,00","200,00","-20,00",100,20.0
27.11.2019,"250,00","250,00","250,00","250,00","-58,33",100,25.0
07.12.2017,"600,00","600,00","600,00","600,00","3,09",23,13.8
28.11.2017,"582,00","582,00","582,00","582,00","0,00",187,108.834
24.11.2017,"582,00","582,00","582,00","582,00","-3,00",13,7.566
21.11.2017,"600,00","600,00","600,00","600,00","0,00",50,30.0
16.10.2017,"600,00","600,00","600,00","600,00","0,00",823,493.8
13.10.2017,"600,00","600,00","600,00","600,00","0,00",377,226.2
25.9.2017,"600,00","600,00","600,00","600,00","79,10",10,6.0
05.9.2017,"335,00","335,00","335,00","335,00","34,00",20,6.7
01.9.2017,"250,00","250,00","250,00","250,00","86,57",17,4.25
23.5.2017,"134,00","134,00","134,00","134,00","2,29",116,15.544
21.3.2017,"131,00","131,00","131,00","131,00","3,15",46,6.026
23.9.2016,"127,00","127,00","127,00","127,00","35,11",70,8.89
23.6.2016,"94,00","94,00","94,00","94,00","-6,00",50,4.7
26.4.2016,"100,00","100,00","100,00","100,00","0,00",192,19.2
22.3.2016,"100,00","100,00","100,00","100,00","-2,91",100,10.0
02.10.2015,"103,00","103,00","103,00","103,00","0,00",8,824.0
24.9.2015,"103,00","103,00","103,00","103,00","3,00",330,33.99
23.9.2015,"100,00","100,00","100,00","100,00","0,00",11,1.1
10.9.2015,"100,00","100,00","100,00","100,00","-33,33",50,5.0
04.6.2015,"150,00","150,00","150,00","150,00","50,00",166,24.9
21.5.2015,"100,00","100,00","100,00","100,00","-50,00",15,1.5
16.4.2015,"200,00","200,00","200,00","200,00","0,00",5,1.0
04.2.2015,"200,00","200,00","200,00","200,00","-20,00",70,14.0
25.10.2024,"150,00","150,00","150,00","150,00","0,00",50,7.500
