Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
27.12.2023,"600,00","600,00","600,00","600,00","0,00",10,6.0
28.10.2022,"600,00","600,00","600,00","600,00","8,50",82,49.2
23.12.2021,"553,00","553,00","553,00","553,00","0,00",94,51.982
17.9.2021,"553,00","553,00","553,00","553,00","-2,98",96,53.088
03.9.2019,"570,00","570,00","570,00","570,00","0,00",112,63.84
04.7.2018,"570,00","570,00","570,00","570,00","0,00",8,4.56
15.5.2018,"570,00","570,00","570,00","570,00","0,00",168,95.76
27.2.2017,"570,00","570,00","570,00","570,00","0,00",110,62.7
07.10.2016,"570,00","570,00","570,00","570,00","0,00",18,10.26
12.8.2016,"570,00","570,00","570,00","570,00","0,00",23,13.11
01.8.2016,"570,00","570,00","570,00","570,00","0,00",103,58.71
15.7.2016,"570,00","570,00","570,00","570,00","0,00",16,9.12
24.6.2016,"570,00","570,00","570,00","570,00","0,00",173,98.61
16.11.2015,"570,00","570,00","570,00","570,00","0,00",65,37.05
28.10.2015,"570,00","570,00","570,00","570,00","0,00",20,11.4
02.6.2015,"570,00","570,00","570,00","570,00","0,00",16,9.12
06.2.2015,"570,00","570,00","570,00","570,00","0,00",35,19.95
12.12.2014,"570,00","570,00","570,00","570,00","0,00",57,32.49
18.11.2014,"570,00","570,00","570,00","570,00","0,00",20,11.4
27.12.2023,"600,00","600,00","600,00","600,00","0,00",10,6.000
