Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
04.11.2024,"3.200,00","3.200,00","3.200,00","3.200,00","-3,03",53,169.6
23.9.2024,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",17,56.1
20.9.2024,"3.300,00","3.300,00","3.300,00","3.300,00","3,12",30,99.0
07.6.2024,"3.200,00","3.200,00","3.200,00","3.200,00","3,59",25,80.0
03.6.2024,"3.089,00","3.089,00","3.089,00","3.089,00","19,96",8,24.712
13.11.2023,"2.575,00","2.575,00","2.575,00","2.575,00","3,00",90,231.75
29.10.2021,"2.500,00","2.500,00","2.500,00","2.500,00","-0,83",115,287.5
24.9.2021,"2.521,00","2.521,00","2.521,00","2.521,00","0,00",69,173.949
20.9.2021,"2.521,00","2.521,00","2.521,00","2.521,00","3,96",20,50.42
03.9.2021,"2.425,00","2.425,00","2.425,00","2.425,00","-3,00",48,116.4
26.8.2021,"2.500,00","2.500,00","2.500,00","2.500,00","13,64",13,32.5
06.7.2021,"2.200,00","2.200,00","2.200,00","2.200,00","-12,00",140,308.0
12.2.2021,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",50,125.0
29.4.2020,"2.500,00","2.500,00","2.500,00","2.500,00","13,64",6,15.0
25.3.2020,"2.200,00","2.200,00","2.200,00","2.200,00","-9,98",15,33.0
05.3.2020,"2.444,00","2.444,00","2.444,00","2.444,00","-2,98",50,122.2
04.3.2020,"2.519,00","2.519,00","2.519,00","2.519,00","-2,97",40,100.76
26.2.2020,"2.596,00","2.596,00","2.596,00","2.596,00","-2,99",40,103.84
13.2.2020,"2.676,00","2.676,00","2.676,00","2.676,00","2,96",313,837.588
24.4.2019,"2.599,00","2.599,00","2.599,00","2.599,00","2,97",30,77.97
17.4.2019,"2.524,00","2.524,00","2.524,00","2.524,00","2,98",92,232.208
16.4.2019,"2.451,00","2.451,00","2.451,00","2.451,00","3,59",150,367.65
12.4.2019,"2.366,00","2.366,00","2.366,00","2.366,00","12,35",260,615.16
20.3.2019,"2.106,00","2.106,00","2.106,00","2.106,00","3,39",328,690.768
19.3.2019,"2.037,00","2.037,00","2.037,00","2.037,00","-3,00",30,61.11
18.3.2019,"2.100,00","2.100,00","2.100,00","2.100,00","2,04",184,386.4
28.11.2018,"2.058,00","2.058,00","2.058,00","2.058,00","0,00",15,30.87
22.11.2018,"2.058,00","2.058,00","2.058,00","2.058,00","2,95",92,189.336
19.11.2018,"1.999,00","1.999,00","1.999,00","1.999,00","-1,09",74,147.926
15.11.2018,"2.021,00","2.021,00","2.021,00","2.021,00","-8,14",150,303.15
24.9.2018,"2.200,00","2.200,00","2.200,00","2.200,00","10,00",3,6.6
20.9.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",21,42.0
19.9.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",95,190.0
12.9.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",10,20.0
10.9.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",7,14.0
07.9.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",87,174.0
06.9.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,05",104,208.0
22.8.2018,"1.999,00","1.999,00","1.999,00","1.999,00","-0,05",37,73.963
21.8.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",9,18.0
20.8.2018,"2.000,00","2.000,00","2.000,00","2.000,00","-0,30",15,30.0
17.8.2018,"2.006,00","2.006,00","2.006,00","2.006,00","126,41",30,60.18
30.5.2018,"886,00","886,00","886,00","886,00","0,00",10,8.86
16.5.2018,"886,00","886,00","886,00","886,00","10,75",153,135.558
25.4.2018,"800,00","800,00","800,00","800,00","0,00",200,160.0
20.2.2018,"800,00","800,00","800,00","800,00","-20,00",210,168.0
16.8.2017,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",75,75.0
15.8.2017,"1.000,00","1.000,00","1.000,00","1.000,00","66,67",24,24.0
21.7.2015,"600,00","600,00","600,00","600,00","0,00",40,24.0
21.4.2015,"600,00","600,00","600,00","600,00","0,00",120,72.0
24.11.2014,"600,00","600,00","600,00","600,00","6,19",75,45.0
04.11.2024,"3.200,00","3.200,00","3.200,00","3.200,00","-3,03",53,169.600
