Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
12.4.2024,"315,00","315,00","315,00","315,00","-0,94",100.0,31.500
08.4.2024,"318,00","318,00","318,00","318,00","2,91",50.0,15.900
29.3.2024,"309,00","309,00","309,00","309,00","3,00",40.0,12.360
22.9.2023,"300,00","300,00","300,00","300,00","53,85",10.0,3.000
16.6.2023,"195,00","195,00","195,00","195,00","0,00",200.0,39.000
15.6.2023,"195,00","195,00","195,00","195,00","2,63",255.0,49.725
08.6.2023,"190,00","190,00","190,00","190,00","-2,06",300.0,57.000
26.5.2023,"194,00","194,00","194,00","194,00","0,00",87.0,16.878
23.5.2023,"194,00","194,00","194,00","194,00","0,00",599.0,116.206
18.5.2023,"194,00","194,00","194,00","194,00","-3,00",201.0,38.994
20.4.2023,"200,00","200,00","200,00","200,00","0,00",1.282,256.400
18.4.2023,"200,00","200,00","200,00","200,00","-9,09",1.0,200.000
10.4.2023,"220,00","220,00","220,00","220,00","-28,57",20.0,4.400
28.12.2021,"308,00","308,00","308,00","308,00","53,23",1.157,356.356
01.12.2021,"201,00","201,00","201,00","201,00","-16,25",408.0,82.008
10.11.2021,"240,00","240,00","240,00","240,00","-1,23",270.0,64.800
05.11.2021,"243,00","243,00","243,00","243,00","-2,80",500.0,121.500
12.7.2021,"250,00","250,00","250,00","250,00","0,00",443.0,110.750
17.6.2021,"250,00","250,00","250,00","250,00","0,00",233.0,58.250
15.6.2021,"250,00","250,00","250,00","250,00","0,00",317.0,79.250
26.5.2021,"250,00","250,00","250,00","250,00","0,00",30.0,7.500
07.5.2021,"250,00","250,00","250,00","250,00","0,00",140.0,35.000
20.4.2021,"250,00","250,00","250,00","250,00","0,00",570.0,142.500
15.4.2021,"250,00","250,00","250,00","250,00","0,00",160.0,40.000
02.4.2021,"250,00","250,00","250,00","250,00","0,00",40.0,10.000
10.3.2021,"250,00","250,00","250,00","250,00","-2,72",110.0,27.500
03.3.2021,"257,00","257,00","257,00","257,00","-14,33",270.0,69.390
18.2.2021,"300,00","300,00","300,00","300,00","1,69",1.01,303.000
17.2.2021,"295,00","295,00","295,00","295,00","8,46",1.362,401.790
16.2.2021,"272,00","272,00","272,00","272,00","19,82",5.0,1.360
15.2.2021,"227,00","227,00","227,00","227,00","0,00",390.0,88.530
08.2.2021,"227,00","227,00","227,00","227,00","0,00",90.0,20.430
02.2.2021,"227,00","227,00","227,00","227,00","13,50",550.0,124.850
01.2.2021,"200,00","200,00","200,00","200,00","-16,67",12.897,2.579.400
29.1.2021,"240,00","240,00","240,00","240,00","20,00",5.0,1.200
25.1.2021,"200,00","200,00","200,00","200,00","-20,00",1.48,296.000
30.12.2020,"250,00","250,00","250,00","250,00","0,00",360.0,90.000
09.12.2020,"250,00","250,00","250,00","250,00","-5,66",100.0,25.000
09.10.2020,"265,00","265,00","265,00","265,00","-8,93",130.0,34.450
23.9.2020,"291,00","291,00","291,00","291,00","-3,00",267.0,77.697
19.8.2020,"300,00","300,00","300,00","300,00","-6,25",100.0,30.000
06.5.2020,"320,00","320,00","320,00","320,00","-0,31",96.0,30.720
02.3.2020,"321,00","321,00","321,00","321,00","0,00",86.0,27.606
24.2.2020,"321,00","321,00","321,00","321,00","0,00",500.0,160.500
06.2.2020,"321,00","321,00","321,00","321,00","0,31",974.0,312.654
05.2.2020,"320,00","320,00","320,00","320,00","6,67",1.172,375.040
04.2.2020,"300,00","300,00","300,00","300,00","0,00",17.0,5.100
03.2.2020,"300,00","300,00","300,00","300,00","0,00",400.0,120.000
28.1.2020,"300,00","300,00","300,00","300,00","0,00",200.0,60.000
23.1.2020,"300,00","300,00","300,00","300,00","0,33",200.0,60.000
22.1.2020,"299,00","299,00","299,00","299,00","0,00",300.0,89.700
21.1.2020,"299,00","299,00","299,00","299,00","-0,33",35.0,10.465
16.1.2020,"300,00","300,00","300,00","300,00","0,00",43.0,12.900
15.1.2020,"300,00","300,00","300,00","300,00","0,00",457.0,137.100
14.1.2020,"300,00","300,00","300,00","300,00","0,00",100.0,30.000
13.1.2020,"300,00","300,00","300,00","300,00","5,26",2.455,736.500
19.12.2019,"285,00","285,00","285,00","285,00","-2,73",631.0,179.835
16.12.2019,"293,00","293,00","293,00","293,00","-2,98",100.0,29.300
29.10.2019,"302,00","302,00","302,00","302,00","4,14",10.0,3.020
17.10.2019,"290,00","290,00","290,00","290,00","-1,69",300.0,87.000
09.10.2019,"295,00","295,00","295,00","295,00","0,00",100.0,29.500
