Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
08.11.2024,"85.001,00","85.001,00","85.001,00","85.001,00","-0,84",10.0,850.010
07.11.2024,"85.700,00","85.750,00","85.700,00","85.725,00","0,34",4.0,342.900
06.11.2024,"85.500,00","85.500,00","85.000,00","85.436,17","-0,07",47.0,4.015.500
05.11.2024,"85.499,00","85.500,00","85.499,00","85.499,50","0,00",4.0,341.998
04.11.2024,"85.500,00","85.500,00","85.499,00","85.499,91","0,00",11.0,940.499
01.11.2024,"85.500,00","85.500,00","85.500,00","85.500,00","0,59",15.0,1.282.500
31.10.2024,"85.000,00","85.000,00","85.000,00","85.000,00","0,57",754.0,64.090.000
30.10.2024,"84.401,00","85.000,00","84.401,00","84.521,57","0,03",14.0,1.183.302
29.10.2024,"84.500,00","84.501,00","84.500,00","84.500,12","-0,70",8.0,676.001
28.10.2024,"85.500,00","85.500,00","85.000,00","85.100,00","-0,25",5.0,425.500
25.10.2024,"85.500,00","85.500,00","85.000,00","85.313,88","-0,13",59.0,5.033.519
24.10.2024,"85.500,00","85.500,00","85.000,00","85.428,57","0,53",7.0,598.000
22.10.2024,"84.500,00","85.000,00","84.500,00","84.979,12","-0,02",24.0,2.039.499
18.10.2024,"85.000,00","85.000,00","85.000,00","85.000,00","-0,35",2.0,170.000
17.10.2024,"85.000,00","85.500,00","85.000,00","85.300,24","-0,24",45.0,3.838.511
16.10.2024,"85.500,00","85.550,00","85.500,00","85.503,12","-0,57",16.0,1.368.050
15.10.2024,"85.990,00","85.990,00","85.990,00","85.990,00","0,11",1.0,85.990
14.10.2024,"85.900,00","85.900,00","85.899,00","85.899,56","0,00",9.0,773.096
10.10.2024,"85.900,00","85.900,00","85.900,00","85.900,00","-0,12",3.0,257.700
07.10.2024,"86.000,00","86.000,00","85.998,00","85.999,93","0,00",105.0,9.029.993
04.10.2024,"85.999,00","86.000,00","85.999,00","85.999,33","-0,05",3.0,257.998
03.10.2024,"86.000,00","86.500,00","86.000,00","86.043,63","-0,53",35.0,3.011.527
01.10.2024,"86.500,00","86.500,00","86.500,00","86.500,00","-0,46",24.0,2.076.000
30.9.2024,"86.898,00","86.900,00","86.898,00","86.899,50","-0,11",14.0,1.216.593
26.9.2024,"86.990,00","87.000,00","86.990,00","86.993,44","-0,01",32.0,2.783.790
25.9.2024,"87.000,00","87.000,00","87.000,00","87.000,00","0,00",53.0,4.611.000
24.9.2024,"87.000,00","87.000,00","87.000,00","87.000,00","0,00",19.0,1.653.000
23.9.2024,"87.001,00","87.001,00","87.000,00","87.000,10","0,00",10.0,870.001
19.9.2024,"87.000,00","87.000,00","87.000,00","87.000,00","0,00",4.0,348.000
16.9.2024,"87.000,00","87.000,00","87.000,00","87.000,00","-0,21",2.0,174.000
