Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
07.11.2024,"8.000,00","8.000,00","8.000,00","8.000,00","3,16",5.0,40.000
31.10.2024,"7.710,00","7.760,00","7.710,00","7.754,83","-3,06",290.0,2.248.900
30.10.2024,"8.000,00","8.000,00","8.000,00","8.000,00","2,59",14.0,112.000
25.10.2024,"7.900,00","7.900,00","7.700,00","7.797,96","1,63",392.0,3.056.800
24.10.2024,"7.800,00","7.800,00","7.650,00","7.673,19","-7,35",690.0,5.294.500
18.10.2024,"7.720,00","8.500,00","7.720,00","8.282,33","-2,56",15.158,125.543.620
17.10.2024,"8.500,00","8.500,00","8.500,00","8.500,00","-2,30",25.0,212.500
16.10.2024,"8.700,00","8.700,00","8.700,00","8.700,00","0,00",17.0,147.900
15.10.2024,"8.700,00","8.700,00","8.700,00","8.700,00","-3,33",3.0,26.100
14.10.2024,"9.000,00","9.000,00","9.000,00","9.000,00","0,00",17.0,153.000
10.10.2024,"9.000,00","9.000,00","9.000,00","9.000,00","1,15",36.0,324.000
09.10.2024,"9.000,00","9.000,00","8.751,00","8.897,47","-1,37",34.0,302.514
08.10.2024,"9.200,00","9.200,00","8.800,00","9.020,85","1,36",129.0,1.163.690
07.10.2024,"8.900,00","8.900,00","8.900,00","8.900,00","-2,00",20.0,178.000
04.10.2024,"9.100,00","9.100,00","8.610,00","9.081,30","4,81",562.0,5.103.690
03.10.2024,"8.680,00","8.680,00","8.500,00","8.664,50","0,63",329.0,2.850.620
02.10.2024,"8.610,00","8.610,00","8.610,00","8.610,00","1,27",45.0,387.450
01.10.2024,"8.570,00","8.570,00","8.480,00","8.501,89","0,02",953.0,8.102.300
30.9.2024,"8.500,00","8.500,00","8.499,00","8.499,94","2,12",722.0,6.136.955
27.9.2024,"8.400,00","8.400,00","8.200,00","8.323,88","2,06",278.0,2.314.040
26.9.2024,"8.103,00","8.343,00","8.100,00","8.156,06","0,69",193.0,1.574.119
24.9.2024,"8.100,00","8.100,00","8.100,00","8.100,00","0,00",173.0,1.401.300
23.9.2024,"8.100,00","8.100,00","8.100,00","8.100,00","0,62",156.0,1.263.600
20.9.2024,"8.050,00","8.050,00","8.050,00","8.050,00","0,32",50.0,402.500
19.9.2024,"8.050,00","8.050,00","7.800,00","8.024,22","0,02",424.0,3.402.270
13.9.2024,"8.000,00","8.050,00","7.990,00","8.022,87","-0,34",52.0,417.189
06.9.2024,"8.050,00","8.050,00","8.050,00","8.050,00","1,90",361.0,2.906.050
05.9.2024,"7.900,00","7.900,00","7.900,00","7.900,00","2,49",22.0,173.800
27.8.2024,"7.700,00","7.813,00","7.700,00","7.707,74","-1,35",73.0,562.665
26.8.2024,"7.750,00","7.830,00","7.750,00","7.813,16","2,38",190.0,1.484.500
23.8.2024,"7.725,00","7.725,00","7.503,00","7.631,23","1,75",1.419,10.828.720
13.8.2024,"7.500,00","7.500,00","7.500,00","7.500,00","0,00",150.0,1.125.000
07.8.2024,"7.500,00","7.500,00","7.500,00","7.500,00","-0,92",38.0,285.000
05.8.2024,"7.570,00","7.570,00","7.570,00","7.570,00","2,99",430.0,3.255.100
31.7.2024,"7.350,00","7.350,00","7.350,00","7.350,00","0,00",80.0,588.000
30.7.2024,"7.350,00","7.350,00","7.350,00","7.350,00","0,68",30.0,220.500
29.7.2024,"7.300,00","7.300,00","7.300,00","7.300,00","0,19",35.0,255.500
25.7.2024,"7.337,00","7.337,00","7.210,00","7.286,20","2,28",50.0,364.310
24.7.2024,"7.200,00","7.200,00","7.010,00","7.124,00","-1,06",250.0,1.781.000
23.7.2024,"7.200,00","7.200,00","7.200,00","7.200,00","-10,00",10.0,72.000
17.7.2024,"8.000,00","8.000,00","8.000,00","8.000,00","-2,77",10.0,80.000
16.7.2024,"8.228,00","8.228,00","8.228,00","8.228,00","10,00",20.0,164.560
11.7.2024,"7.480,00","7.480,00","7.480,00","7.480,00","10,00",15.0,112.200
05.7.2024,"6.800,00","6.800,00","6.800,00","6.800,00","1,54",50.0,340.000
04.7.2024,"6.697,00","6.697,00","6.697,00","6.697,00","3,00",106.0,709.882
25.6.2024,"6.502,00","6.502,00","6.502,00","6.502,00","0,03",10.0,65.020
19.6.2024,"6.500,00","6.500,00","6.500,00","6.500,00","0,00",5.0,32.500
18.6.2024,"6.500,00","6.500,00","6.500,00","6.500,00","3,16",49.0,318.500
10.6.2024,"6.301,00","6.301,00","6.301,00","6.301,00","-1,18",2.0,12.602
05.6.2024,"6.500,00","6.500,00","6.302,00","6.376,25","0,73",32.0,204.040
04.6.2024,"6.330,00","6.330,00","6.330,00","6.330,00","-2,48",25.0,158.250
30.5.2024,"6.500,00","6.500,00","6.315,00","6.491,19","8,08",21.0,136.315
22.5.2024,"6.001,00","6.077,00","6.001,00","6.005,71","1,79",226.0,1.357.290
20.5.2024,"5.900,00","5.900,00","5.900,00","5.900,00","0,00",20.0,118.000
10.5.2024,"5.900,00","5.900,00","5.900,00","5.900,00","6,28",56.0,330.400
09.5.2024,"5.551,00","5.552,00","5.551,00","5.551,50","-2,98",20.0,111.030
23.4.2024,"5.722,00","5.722,00","5.722,00","5.722,00","10,00",10.0,57.220
19.4.2024,"5.202,00","5.202,00","5.202,00","5.202,00","1,01",5.0,26.010
11.4.2024,"5.150,00","5.150,00","5.150,00","5.150,00","-0,02",106.0,545.900
05.4.2024,"5.151,00","5.151,00","5.151,00","5.151,00","0,02",55.0,283.305
25.3.2024,"5.150,00","5.150,00","5.150,00","5.150,00","0,00",10.0,51.500
19.3.2024,"5.150,00","5.150,00","5.150,00","5.150,00","1,58",10.0,51.500
15.3.2024,"5.070,00","5.070,00","5.070,00","5.070,00","0,39",327.0,1.657.890
12.3.2024,"5.050,00","5.051,00","5.050,00","5.050,20","0,00",98.0,494.920
28.2.2024,"5.050,00","5.050,00","5.050,00","5.050,00","1,00",10.0,50.500
21.2.2024,"5.000,00","5.000,00","5.000,00","5.000,00","-1,40",610.0,3.050.000
20.2.2024,"5.060,00","5.100,00","5.060,00","5.071,18","-0,57",340.0,1.724.200
19.2.2024,"5.100,00","5.100,00","5.100,00","5.100,00","-0,04",5.0,25.500
16.2.2024,"5.100,00","5.115,00","5.100,00","5.101,92","-0,16",800.0,4.081.538
15.2.2024,"5.110,00","5.110,00","5.110,00","5.110,00","-0,20",430.0,2.197.300
06.2.2024,"5.120,00","5.120,00","5.120,00","5.120,00","0,79",50.0,256.000
22.1.2024,"5.080,00","5.080,00","5.080,00","5.080,00","0,00",32.0,162.560
10.1.2024,"5.080,00","5.080,00","5.080,00","5.080,00","2,63",60.0,304.800
09.1.2024,"4.950,00","4.950,00","4.950,00","4.950,00","0,61",560.0,2.772.000
04.1.2024,"4.950,00","4.950,00","4.800,00","4.920,00","3,06",25.0,123.000
26.12.2023,"4.702,00","4.790,00","4.702,00","4.774,12","-0,54",601.0,2.869.245
25.12.2023,"4.800,00","4.800,00","4.800,00","4.800,00","1,95",520.0,2.496.000
15.12.2023,"4.750,00","4.750,00","4.700,00","4.707,96","4,59",157.0,739.150
07.12.2023,"4.500,00","4.510,00","4.500,00","4.501,50","0,03",300.0,1.350.450
28.11.2023,"4.500,00","4.500,00","4.500,00","4.500,00","0,00",15.0,67.500
27.11.2023,"4.500,00","4.500,00","4.500,00","4.500,00","0,00",25.0,112.500
14.11.2023,"4.500,00","4.500,00","4.500,00","4.500,00","0,00",5.0,22.500
06.11.2023,"4.500,00","4.500,00","4.500,00","4.500,00","0,89",10.0,45.000
31.10.2023,"4.500,00","4.500,00","4.400,00","4.460,45","1,37",397.0,1.770.800
19.10.2023,"4.400,00","4.400,00","4.400,00","4.400,00","0,00",200.0,880.000
18.10.2023,"4.400,00","4.400,00","4.400,00","4.400,00","-0,02",200.0,880.000
17.10.2023,"4.400,00","4.401,00","4.400,00","4.400,97","0,00",119.0,523.715
16.10.2023,"4.401,00","4.401,00","4.401,00","4.401,00","0,00",10.0,44.010
13.10.2023,"4.401,00","4.401,00","4.401,00","4.401,00","0,02",25.0,110.025
10.10.2023,"4.400,00","4.400,00","4.400,00","4.400,00","0,00",30.0,132.000
05.10.2023,"4.400,00","4.400,00","4.400,00","4.400,00","0,00",70.0,308.000
04.10.2023,"4.400,00","4.400,00","4.400,00","4.400,00","0,00",6.0,26.400
03.10.2023,"4.400,00","4.400,00","4.400,00","4.400,00","0,00",63.0,277.200
29.9.2023,"4.400,00","4.400,00","4.400,00","4.400,00","0,00",33.0,145.200
25.9.2023,"4.400,00","4.400,00","4.400,00","4.400,00","0,00",15.0,66.000
18.9.2023,"4.400,00","4.400,00","4.400,00","4.400,00","1,15",20.0,88.000
