Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
03.10.2024,"607,00","607,00","607,00","607,00","0,00",36.0,21.852
04.9.2024,"607,00","607,00","607,00","607,00","0,00",32.0,19.424
26.6.2024,"607,00","607,00","607,00","607,00","0,00",23.0,13.961
28.5.2024,"607,00","607,00","607,00","607,00","0,00",19.0,11.533
29.4.2024,"607,00","607,00","607,00","607,00","0,00",37.0,22.459
02.2.2024,"607,00","607,00","607,00","607,00","0,00",24.0,14.568
23.11.2023,"607,00","607,00","607,00","607,00","0,00",31.0,18.817
13.11.2023,"607,00","607,00","607,00","607,00","0,00",31.0,18.817
01.6.2023,"607,00","607,00","607,00","607,00","0,00",64.0,38.848
29.5.2023,"607,00","607,00","607,00","607,00","0,00",25.0,15.175
02.5.2023,"607,00","607,00","607,00","607,00","0,00",37.0,22.459
20.3.2023,"607,00","607,00","607,00","607,00","0,00",16.0,9.712
30.9.2022,"607,00","607,00","607,00","607,00","0,00",18.0,10.926
30.8.2022,"607,00","607,00","607,00","607,00","0,00",36.0,21.852
08.3.2022,"607,00","607,00","607,00","607,00","0,00",23.0,13.961
14.2.2022,"607,00","607,00","607,00","607,00","0,00",13.0,7.891
17.1.2022,"607,00","607,00","607,00","607,00","0,00",24.0,14.568
28.12.2021,"607,00","607,00","607,00","607,00","0,00",35.0,21.245
02.12.2021,"607,00","607,00","607,00","607,00","0,00",25.0,15.175
22.11.2021,"607,00","607,00","607,00","607,00","0,00",36.0,21.852
17.11.2021,"607,00","607,00","607,00","607,00","0,00",34.0,20.638
12.11.2021,"607,00","607,00","607,00","607,00","0,00",30.0,18.21
10.11.2021,"607,00","607,00","607,00","607,00","0,00",42.0,25.494
27.9.2021,"607,00","607,00","607,00","607,00","0,00",114.0,69.198
15.9.2021,"607,00","607,00","607,00","607,00","0,00",26.0,15.782
06.9.2021,"607,00","607,00","607,00","607,00","0,00",47.0,28.529
31.8.2021,"607,00","607,00","607,00","607,00","0,00",25.0,15.175
