Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
10.7.2024,"1.900,00","1.900,00","1.900,00","1.900,00","0,00",20.0,38.000
31.1.2022,"1.900,00","1.900,00","1.900,00","1.900,00","2,15",116.0,220.400
03.7.2020,"1.860,00","1.860,00","1.860,00","1.860,00","20,00",247.0,459.420
02.7.2020,"1.550,00","1.550,00","1.550,00","1.550,00","24,00",324.0,502.200
01.10.2019,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",134.0,167.500
19.7.2019,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",118.0,147.500
24.4.2019,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",339.0,423.750
01.4.2019,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",58.0,72.500
19.11.2018,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",59.0,73.750
06.11.2018,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",140.0,175.000
18.10.2018,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",127.0,158.750
30.8.2018,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",147.0,183.750
20.8.2018,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",236.0,295.000
06.12.2017,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",328.0,410.000
24.7.2017,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",362.0,452.500
15.6.2017,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",372.0,465.000
11.11.2016,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",4.942,6.177.500
04.11.2016,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",129.0,161.250
21.10.2016,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",104.0,130.000
06.7.2016,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",257.0,321.250
11.9.2015,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",121.0,151.250
10.7.2024,"1.900,00","1.900,00","1.900,00","1.900,00","0,00",20,38.000
