Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
04.10.2024,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",9,553.500
15.3.2024,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",2,123.000
07.3.2024,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",1,61.500
19.10.2021,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",10,615.000
18.9.2018,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",8,492.000
14.8.2017,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",10,615.000
20.6.2017,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",4,246.000
14.6.2017,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",142,8.733.000
13.6.2017,"61.500,00","61.500,00","61.500,00","61.500,00","-33,33",41,2.521.500
24.3.2017,"92.250,00","92.250,00","92.250,00","92.250,00","0,00",158,14.575.500
20.3.2017,"92.250,00","92.250,00","92.250,00","92.250,00","0,00",12,1.107.000
17.3.2017,"92.250,00","92.250,00","92.250,00","92.250,00","0,00",16,1.476.000
24.2.2017,"92.250,00","92.250,00","92.250,00","92.250,00","0,00",11,1.014.750
13.2.2017,"92.250,00","92.250,00","92.250,00","92.250,00","0,00",19,1.752.750
02.2.2017,"92.250,00","92.250,00","92.250,00","92.250,00","0,00",14,1.291.500
18.1.2017,"92.250,00","92.250,00","92.250,00","92.250,00","0,00",10,922.500
08.11.2016,"92.250,00","92.250,00","92.250,00","92.250,00","0,00",4,369.000
07.11.2016,"92.250,00","92.250,00","92.250,00","92.250,00","0,00",16,1.476.000
27.9.2016,"92.250,00","92.250,00","92.250,00","92.250,00","0,00",4,369.000
15.9.2016,"92.250,00","92.250,00","92.250,00","92.250,00","287,61",15,1.383.750
04.10.2024,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",9,553.500
