Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
27.1.2021,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.000
04.12.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",220,1.320.000
29.11.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",30,180.000
15.11.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",40,240.000
09.4.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",5,30.000
08.4.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",5,30.000
06.3.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.000
01.2.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.000
14.12.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",25,150.000
30.11.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.000
23.11.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",33,198.000
09.10.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.000
12.9.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",8,48.000
03.8.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.000
12.4.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",30,180.000
21.3.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.000
13.2.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.000
25.1.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",30,180.000
22.12.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",25,150.000
06.12.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",35,210.000
16.11.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.000
05.6.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",150,900.000
05.5.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",1,6.000
13.3.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",100,600.000
07.2.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",240,1.440.000
02.2.2017,"6.000,00","6.000,00","6.000,00","6.000,00","46,31",100,600.000
08.11.2016,"4.101,00","4.101,00","4.101,00","4.101,00","2,52",119,488.019
11.5.2016,"4.000,00","4.000,00","4.000,00","4.000,00","-34,43",175,700.000
28.4.2015,"6.100,00","6.100,00","6.100,00","6.100,00","-7,58",1,6.100
19.12.2014,"6.600,00","6.600,00","6.600,00","6.600,00","-2,94",1,6.600
