Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
24.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",133.0,787.227
22.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",132.0,781.308
21.10.2024,"5.919,00","5.920,00","5.919,00","5.919,22","0,00",276.0,1.633.704
18.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",109.0,645.171
17.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,04",132.0,781.308
16.10.2024,"5.919,00","5.919,00","5.850,00","5.916,49","-0,04",3.208,18.980.097
02.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",192.0,1.136.448
01.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,01",454.0,2.687.226
30.9.2024,"5.919,00","5.919,00","5.910,00","5.918,65","0,12",1.422,8.416.324
25.9.2024,"5.919,00","5.919,00","5.750,00","5.911,35","2,81",2.07,12.236.487
24.9.2024,"5.750,00","5.750,00","5.750,00","5.750,00","-2,85",20.0,115.000
20.9.2024,"5.919,00","5.919,00","5.918,00","5.918,95","0,90",4.032,23.865.195
19.9.2024,"5.866,00","5.866,00","5.866,00","5.866,00","9,99",33.0,193.578
18.9.2024,"5.333,00","5.333,00","5.333,00","5.333,00","-9,90",5.0,26.665
06.9.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",144.0,852.336
05.9.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",10.0,59.190
04.9.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",15.0,88.785
03.9.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",111.0,657.009
02.9.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",35.0,207.165
30.8.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",120.0,710.280
27.8.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",595.0,3.521.805
08.8.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",1.035,6.126.165
01.8.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",234.0,1.385.046
31.7.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",514.0,3.042.366
30.7.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",108.0,639.252
29.7.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",30.0,177.570
26.7.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,01",274.0,1.621.806
25.7.2024,"5.919,00","5.919,00","5.900,00","5.918,69","1,13",14.572,86.247.158
24.7.2024,"5.860,00","5.860,00","5.169,00","5.852,37","9,84",5.02,29.378.885
23.7.2024,"5.328,00","5.328,00","5.328,00","5.328,00","-9,98",20.0,106.560
19.7.2024,"5.879,00","5.919,00","5.879,00","5.918,99","0,61",82.779,489.968.101
18.7.2024,"5.883,00","5.883,00","5.883,00","5.883,00","9,99",1.651,9.712.833
17.7.2024,"5.390,00","5.390,00","4.899,00","5.348,65","9,16",475.0,2.540.610
15.7.2024,"4.900,00","4.900,00","4.900,00","4.900,00","0,10",20.0,98.000
11.7.2024,"4.895,00","4.895,00","4.895,00","4.895,00","-0,10",2.0,9.790
28.6.2024,"4.900,00","4.900,00","4.900,00","4.900,00","-1,01",40.0,196.000
07.6.2024,"4.950,00","4.950,00","4.950,00","4.950,00","0,02",30.0,148.500
30.5.2024,"4.949,00","4.949,00","4.949,00","4.949,00","-0,96",25.0,123.725
29.5.2024,"4.997,00","4.997,00","4.997,00","4.997,00","-0,06",60.0,299.820
17.5.2024,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",7.0,35.000
14.5.2024,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",5.0,25.000
02.5.2024,"5.000,00","5.000,00","5.000,00","5.000,00","0,02",100.0,500.000
30.4.2024,"4.999,00","4.999,00","4.999,00","4.999,00","-2,86",25.0,124.975
28.3.2024,"5.146,00","5.146,00","5.146,00","5.146,00","-0,08",48.0,247.008
26.3.2024,"5.150,00","5.150,00","5.150,00","5.150,00","0,00",20.0,103.000
25.3.2024,"5.150,00","5.150,00","5.150,00","5.150,00","0,98",8.0,41.200
22.3.2024,"5.100,00","5.100,00","5.100,00","5.100,00","4,08",41.0,209.100
20.3.2024,"4.900,00","4.900,00","4.900,00","4.900,00","0,06",38.0,186.200
18.3.2024,"4.897,00","4.897,00","4.897,00","4.897,00","-0,06",9.0,44.073
