Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
21.2.2024,"2.770,00","2.770,00","2.770,00","2.770,00","0,00",70.0,193.900
24.1.2023,"2.770,00","2.770,00","2.770,00","2.770,00","0,00",965.0,2.673.050
13.12.2022,"2.770,00","2.770,00","2.770,00","2.770,00","0,00",30.0,83.100
29.6.2021,"2.770,00","2.770,00","2.770,00","2.770,00","104,73",314.0,869.780
13.3.2019,"1.353,00","1.353,00","1.353,00","1.353,00","0,00",100.0,135.300
30.10.2018,"1.353,00","1.353,00","1.353,00","1.353,00","0,00",130.0,175.890
01.8.2018,"1.353,00","1.353,00","1.353,00","1.353,00","0,00",650.0,879.450
04.11.2015,"1.353,00","1.353,00","1.353,00","1.353,00","-51,28",1.617,2.187.801
26.6.2015,"2.777,00","2.777,00","2.777,00","2.777,00","105,70",4.502,12.502.054
21.2.2024,"2.770,00","2.770,00","2.770,00","2.770,00","0,00",70,193.900
