Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
10.10.2024,"35.000,00","35.000,00","35.000,00","35.000,00","0,00",8,280.000
16.9.2024,"35.001,00","35.001,00","35.001,00","35.001,00","1,48",10,350.010
29.8.2024,"34.490,00","34.490,00","34.490,00","34.490,00","-0,03",33,1.138.170
14.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","1,44",5,172.500
13.5.2024,"34.011,00","34.011,00","34.011,00","34.011,00","-0,84",11,374.121
16.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",7,240.100
15.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",3,102.900
03.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","3,00",12,411.600
28.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",10,333.010
20.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",7,233.107
22.2.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",15,499.515
20.2.2024,"33.301,00","33.301,00","33.301,00","33.301,00","-0,30",100,3.330.100
16.2.2024,"33.400,00","33.400,00","33.400,00","33.400,00","0,00",100,3.340.000
15.2.2024,"33.401,00","33.401,00","33.401,00","33.401,00","-0,30",100,3.340.100
29.1.2024,"33.501,00","33.501,00","33.501,00","33.501,00","11,30",3,100.503
22.8.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,33",5,150.505
18.7.2023,"30.001,00","30.001,00","30.001,00","30.001,00","0,00",63,1.890.063
13.6.2023,"30.000,00","30.000,00","30.000,00","30.000,00","0,00",6,180.000
09.6.2023,"30.000,00","30.000,00","30.000,00","30.000,00","0,00",100,3.000.000
19.4.2023,"30.000,00","30.000,00","30.000,00","30.000,00","0,00",16,480.000
18.4.2023,"30.000,00","30.000,00","30.000,00","30.000,00","0,00",5,150.000
13.4.2023,"30.000,00","30.000,00","30.000,00","30.000,00","0,00",5,150.000
12.4.2023,"30.000,00","30.000,00","30.000,00","30.000,00","-6,25",5,150.000
14.3.2023,"32.000,00","32.000,00","32.000,00","32.000,00","0,00",7,224.000
17.2.2023,"32.000,00","32.000,00","32.000,00","32.000,00","0,00",36,1.152.000
29.12.2022,"32.000,00","32.000,00","32.000,00","32.000,00","0,01",85,2.720.000
