Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
22.2.2022,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",206,329.600
19.9.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",41,65.600
13.8.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",700,1.120.000
17.7.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",700,1.120.000
20.5.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",600,960.000
23.1.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",400,640.000
19.12.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",600,960.000
21.11.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",500,800.000
08.10.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",500,800.000
14.8.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",500,800.000
05.7.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",500,800.000
19.6.2017,"1.600,00","1.600,00","1.600,00","1.600,00","-20,00",500,800.000
27.12.2016,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",621,1.242.000
02.6.2016,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",371,742.000
16.3.2016,"2.000,00","2.000,00","2.000,00","2.000,00","25,00",453,906.000
27.10.2015,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",72,115.200
