Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
02.10.2023,"840,00","840,00","840,00","840,00","0,00",328,275.52
29.9.2023,"840,00","840,00","840,00","840,00","-33,28",1,840.0
28.7.2023,"1.259,00","1.259,00","1.259,00","1.259,00","0,00",416,523.744
12.5.2023,"1.259,00","1.259,00","1.259,00","1.259,00","0,00",417,525.003
23.3.2023,"1.259,00","1.259,00","1.259,00","1.259,00","-59,06",417,525.003
12.12.2018,"3.075,00","3.075,00","3.075,00","3.075,00","0,00",19,58.425
10.12.2018,"3.075,00","3.075,00","3.075,00","3.075,00","0,00",5,15.375
29.11.2018,"3.075,00","3.075,00","3.075,00","3.075,00","0,00",16,49.2
28.11.2018,"3.075,00","3.075,00","3.075,00","3.075,00","0,00",2,6.15
27.11.2018,"3.075,00","3.075,00","3.075,00","3.075,00","2,50",47,144.525
