Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
08.11.2024,"15.096,00","15.096,00","15.096,00","15.096,00","-0,01",9.0,135.864
07.11.2024,"15.098,00","15.098,00","15.098,00","15.098,00","-0,01",17.0,256.666
05.11.2024,"15.100,00","15.100,00","15.100,00","15.100,00","0,00",11.0,166.100
04.11.2024,"15.100,00","15.100,00","15.100,00","15.100,00","2,03",2.0,30.200
01.11.2024,"14.800,00","14.800,00","14.800,00","14.800,00","0,68",12.0,177.600
31.10.2024,"14.700,00","14.700,00","14.700,00","14.700,00","0,00",21.0,308.700
30.10.2024,"14.700,00","14.701,00","14.700,00","14.700,65","0,00",31.0,455.720
28.10.2024,"14.700,00","14.700,00","14.700,00","14.700,00","0,28",34.0,499.800
25.10.2024,"14.700,00","14.700,00","14.601,00","14.659,28","-0,28",141.0,2.066.958
24.10.2024,"14.700,00","14.700,00","14.700,00","14.700,00","1,38",40.0,588.000
21.10.2024,"14.500,00","14.500,00","14.500,00","14.500,00","-1,49",1.0,14.500
17.10.2024,"14.700,00","14.800,00","14.700,00","14.720,00","-0,20",5.0,73.600
16.10.2024,"14.700,00","14.790,00","14.700,00","14.748,89","-0,28",18.0,265.480
15.10.2024,"14.790,00","14.790,00","14.790,00","14.790,00","1,69",3.0,44.370
14.10.2024,"14.500,00","14.800,00","14.500,00","14.544,08","-1,73",168.0,2.443.405
10.10.2024,"14.800,00","14.800,00","14.800,00","14.800,00","0,00",3.0,44.400
09.10.2024,"14.800,00","14.800,00","14.800,00","14.800,00","-0,20",3.0,44.400
08.10.2024,"14.800,00","14.979,00","14.800,00","14.829,83","-1,06",12.0,177.958
07.10.2024,"14.989,00","14.989,00","14.987,00","14.988,49","1,27",47.0,704.459
04.10.2024,"14.800,00","14.800,00","14.800,00","14.800,00","-0,33",3.0,44.400
03.10.2024,"14.849,00","14.849,00","14.849,00","14.849,00","-0,01",10.0,148.490
02.10.2024,"14.850,00","14.850,00","14.850,00","14.850,00","-0,98",13.0,193.050
01.10.2024,"14.997,00","14.997,00","14.997,00","14.997,00","0,02",6.0,89.982
30.9.2024,"14.994,00","14.994,00","14.994,00","14.994,00","-0,02",6.0,89.964
27.9.2024,"14.997,00","14.998,00","14.997,00","14.997,12","0,00",16.0,239.954
26.9.2024,"14.999,00","14.999,00","14.997,00","14.997,50","1,97",20.0,299.950
25.9.2024,"14.700,00","14.850,00","14.700,00","14.707,86","-0,96",42.0,617.730
24.9.2024,"14.850,00","14.850,00","14.850,00","14.850,00","-0,14",5.0,74.250
23.9.2024,"14.800,00","15.000,00","14.800,00","14.870,97","-0,46",31.0,461.000
17.9.2024,"14.900,00","14.979,00","14.900,00","14.939,50","-0,25",20.0,298.790
16.9.2024,"14.976,00","14.980,00","14.975,00","14.976,85","0,03",20.0,299.537
13.9.2024,"14.900,00","14.998,00","14.900,00","14.972,88","-0,18",50.0,748.644
12.9.2024,"14.999,00","15.000,00","14.999,00","14.999,80","0,01",25.0,374.995
10.9.2024,"14.999,00","14.999,00","14.999,00","14.999,00","-0,01",1.0,14.999
06.9.2024,"15.000,00","15.000,00","15.000,00","15.000,00","-2,24",47.0,705.000
05.9.2024,"15.344,00","15.344,00","15.344,00","15.344,00","2,43",1.0,15.344
30.8.2024,"14.900,00","15.000,00","14.900,00","14.979,47","-0,35",187.0,2.801.161
29.8.2024,"15.000,00","15.347,00","15.000,00","15.031,55","0,88",11.0,165.347
27.8.2024,"14.900,00","14.900,00","14.900,00","14.900,00","1,31",50.0,745.000
23.8.2024,"14.700,00","15.000,00","14.700,00","14.707,32","-1,88",41.0,603.000
22.8.2024,"14.989,00","14.989,00","14.989,00","14.989,00","0,01",4.0,59.956
21.8.2024,"14.989,00","14.990,00","14.987,00","14.987,47","0,00",32.0,479.599
19.8.2024,"14.987,00","14.987,00","14.987,00","14.987,00","-0,08",36.0,539.532
16.8.2024,"14.999,00","14.999,00","14.999,00","14.999,00","0,00",30.0,449.970
15.8.2024,"14.999,00","14.999,00","14.999,00","14.999,00","0,13",5.0,74.995
14.8.2024,"14.979,00","14.979,00","14.979,00","14.979,00","3,00",5.0,74.895
13.8.2024,"14.500,00","14.600,00","14.500,00","14.543,27","0,07",104.0,1.512.500
12.8.2024,"14.500,00","14.900,00","14.500,00","14.533,33","0,23",36.0,523.200
09.8.2024,"14.500,00","14.500,00","14.499,00","14.499,89","-2,51",56.0,811.994
08.8.2024,"14.873,00","14.874,00","14.872,00","14.873,49","-0,01",175.0,2.602.861
07.8.2024,"14.875,00","14.875,00","14.875,00","14.875,00","-0,50",11.0,163.625
06.8.2024,"14.949,00","14.949,00","14.949,00","14.949,00","4,64",1.0,14.949
31.7.2024,"14.990,00","14.990,00","14.186,00","14.286,50","-2,31",8.0,114.292
