Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
03.9.2024,"50,00","50,00","50,00","50,00","0,00",618.0,30.900
14.12.2023,"50,00","50,00","50,00","50,00","0,00",1.392,69.600
17.10.2023,"50,00","50,00","50,00","50,00","0,00",1.05,52.500
13.9.2023,"50,00","50,00","50,00","50,00","0,00",32.0,1.600
07.8.2023,"50,00","50,00","50,00","50,00","0,00",842.0,42.100
12.6.2023,"50,00","50,00","50,00","50,00","0,00",1.263,63.150
05.6.2023,"50,00","50,00","50,00","50,00","0,00",1.233,61.650
05.1.2023,"50,00","50,00","50,00","50,00","0,00",382.0,19.100
23.12.2022,"50,00","50,00","50,00","50,00","0,00",4.0,200.000
06.12.2022,"50,00","50,00","50,00","50,00","0,00",1.234,61.700
05.12.2022,"50,00","50,00","50,00","50,00","0,00",616.0,30.800
17.11.2022,"50,00","50,00","50,00","50,00","0,00",1.234,61.700
15.11.2022,"50,00","50,00","50,00","50,00","0,00",3.069,153.450
01.11.2022,"50,00","50,00","50,00","50,00","0,00",612.0,30.600
14.10.2022,"50,00","50,00","50,00","50,00","0,00",20.0,1.000
10.10.2022,"50,00","50,00","50,00","50,00","0,00",53.0,2.650
12.9.2022,"50,00","50,00","50,00","50,00","0,00",3.495,174.750
17.8.2022,"50,00","50,00","50,00","50,00","0,00",3.675,183.750
09.8.2022,"50,00","50,00","50,00","50,00","0,00",3.702,185.100
04.8.2022,"50,00","50,00","50,00","50,00","0,00",12.681,634.050
03.8.2022,"50,00","50,00","50,00","50,00","0,00",375.0,18.750
26.7.2022,"50,00","50,00","50,00","50,00","0,00",3.676,183.800
25.7.2022,"50,00","50,00","50,00","50,00","0,00",1.245,62.250
22.7.2022,"50,00","50,00","50,00","50,00","0,00",3.214,160.700
15.7.2022,"50,00","50,00","50,00","50,00","0,00",2.467,123.350
13.7.2022,"50,00","50,00","50,00","50,00","0,00",4.21,210.500
12.7.2022,"50,00","50,00","50,00","50,00","0,00",5.054,252.700
08.7.2022,"50,00","50,00","50,00","50,00","0,00",2.474,123.700
07.7.2022,"50,00","50,00","50,00","50,00","0,00",4.938,246.900
06.7.2022,"50,00","50,00","50,00","50,00","0,00",7.175,358.750
05.7.2022,"50,00","50,00","50,00","50,00","0,00",4.603,230.150
04.7.2022,"50,00","50,00","50,00","50,00","0,00",3.732,186.600
29.6.2022,"50,00","50,00","50,00","50,00","0,00",7.719,385.950
15.6.2022,"50,00","50,00","50,00","50,00","0,00",6.43,321.500
22.10.2021,"50,00","50,00","50,00","50,00","0,00",1.038,51.900
24.2.2021,"50,00","50,00","50,00","50,00","0,00",1.92,96.000
23.2.2021,"50,00","50,00","50,00","50,00","-28,57",50.0,2.500
16.10.2020,"70,00","70,00","70,00","70,00","2,94",28.328,1.982.960
15.10.2020,"68,00","68,00","68,00","68,00","0,00",3.24,220.320
14.10.2020,"68,00","68,00","68,00","68,00","0,00",890.0,60.520
29.5.2020,"68,00","68,00","68,00","68,00","41,67",896.0,60.928
20.3.2020,"48,00","48,00","48,00","48,00","0,00",2.886,138.528
