Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
23.8.2019,"20,00","20,00","20,00","20,00","0,00",31.0,620.0
01.8.2019,"20,00","20,00","20,00","20,00","0,00",56.0,1.12
07.5.2019,"20,00","20,00","20,00","20,00","-20,00",13.0,260.0
22.2.2019,"25,00","25,00","25,00","25,00","25,00",400.0,10.0
21.2.2019,"20,00","20,00","20,00","20,00","0,00",34.0,680.0
15.2.2019,"20,00","20,00","20,00","20,00","0,00",29.0,580.0
13.2.2019,"20,00","20,00","20,00","20,00","0,00",50.0,1.0
01.2.2019,"20,00","20,00","20,00","20,00","-20,00",300.0,6.0
17.12.2018,"25,00","25,00","25,00","25,00","0,00",600.0,15.0
08.11.2018,"25,00","25,00","25,00","25,00","0,00",500.0,12.5
06.11.2018,"25,00","25,00","25,00","25,00","0,00",9.0,225.0
17.9.2018,"25,00","25,00","25,00","25,00","0,00",58.0,1.45
22.8.2018,"25,00","25,00","25,00","25,00","-10,71",100.0,2.5
16.8.2018,"28,00","28,00","28,00","28,00","0,00",300.0,8.4
10.7.2018,"28,00","28,00","28,00","28,00","0,00",1.0,28.0
27.6.2018,"28,00","28,00","28,00","28,00","40,00",805.0,22.54
14.6.2018,"20,00","20,00","20,00","20,00","-33,33",34.0,680.0
21.3.2018,"30,00","30,00","30,00","30,00","50,00",215.0,6.45
19.2.2018,"20,00","20,00","20,00","20,00","0,00",25.0,500.0
12.2.2018,"20,00","20,00","20,00","20,00","0,00",21.0,420.0
01.2.2018,"20,00","20,00","20,00","20,00","-20,00",25.0,500.0
10.1.2018,"25,00","25,00","25,00","25,00","0,00",1.0,25.0
04.10.2017,"25,00","25,00","25,00","25,00","0,00",33.0,825.0
08.8.2017,"25,00","25,00","25,00","25,00","-19,35",2.0,50.0
27.7.2017,"31,00","31,00","31,00","31,00","0,00",1.513,46.903
26.7.2017,"31,00","31,00","31,00","31,00","0,00",1.738,53.878
25.7.2017,"31,00","31,00","31,00","31,00","24,00",1.0,31.0
21.7.2017,"25,00","25,00","25,00","25,00","0,00",1.763,44.075
28.6.2017,"25,00","25,00","25,00","25,00","0,00",23.0,575.0
16.5.2017,"25,00","25,00","25,00","25,00","0,00",19.0,475.0
06.3.2017,"25,00","25,00","25,00","25,00","0,00",20.0,500.0
24.2.2017,"25,00","25,00","25,00","25,00","0,00",200.0,5.0
02.2.2017,"25,00","25,00","25,00","25,00","0,00",1.0,25.0
29.11.2016,"25,00","25,00","25,00","25,00","0,00",100.0,2.5
17.11.2016,"25,00","25,00","25,00","25,00","0,00",16.0,400.0
21.9.2016,"25,00","25,00","25,00","25,00","0,00",55.0,1.375
12.4.2016,"25,00","25,00","25,00","25,00","0,00",640.0,16.0
11.4.2016,"25,00","25,00","25,00","25,00","0,00",358.0,8.95
22.3.2016,"25,00","25,00","25,00","25,00","0,00",25.0,625.0
10.3.2016,"25,00","25,00","25,00","25,00","0,00",90.0,2.25
03.3.2016,"25,00","25,00","25,00","25,00","0,00",27.0,675.0
11.1.2016,"25,00","25,00","25,00","25,00","0,00",40.0,1.0
28.12.2015,"25,00","25,00","25,00","25,00","0,00",25.0,625.0
23.11.2015,"25,00","25,00","25,00","25,00","0,00",13.0,325.0
09.9.2015,"25,00","25,00","25,00","25,00","0,00",145.0,3.625
19.8.2015,"25,00","25,00","25,00","25,00","0,00",65.0,1.625
28.7.2015,"25,00","25,00","25,00","25,00","0,00",24.0,600.0
24.6.2015,"25,00","25,00","25,00","25,00","0,00",19.0,475.0
28.5.2015,"25,00","25,00","25,00","25,00","0,00",23.0,575.0
01.4.2015,"25,00","25,00","25,00","25,00","0,00",27.0,675.0
12.2.2015,"25,00","25,00","25,00","25,00","0,00",31.0,775.0
