Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
11.7.2022,"6.170,00","6.170,00","6.170,00","6.170,00","928,33",1,6.17
26.2.2019,"600,00","600,00","600,00","600,00","-5,21",3,1.8
16.5.2018,"633,00","633,00","633,00","633,00","2,93",107,67.731
10.5.2018,"615,00","615,00","615,00","615,00","-0,81",103,63.345
29.11.2016,"620,00","620,00","620,00","620,00","24,00",5,3.1
27.10.2016,"500,00","500,00","500,00","500,00","0,00",20,10.0
12.2.2016,"500,00","500,00","500,00","500,00","0,00",29,14.5
14.1.2016,"500,00","500,00","500,00","500,00","0,00",124,62.0
12.1.2016,"500,00","500,00","500,00","500,00","-19,35",2,1.0
25.11.2015,"620,00","620,00","620,00","620,00","0,81",108,66.96
