Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
25.8.2023,"4,00","4,00","4,00","4,00","0,00",2.0,8.0
08.3.2023,"4,00","4,00","4,00","4,00","-60,00",496.0,1.984
09.9.2021,"10,00","10,00","10,00","10,00","-9,09",743.0,7.43
19.5.2021,"11,00","11,00","11,00","11,00","0,00",641.0,7.051
17.5.2021,"11,00","11,00","11,00","11,00","22,22",500.0,5.5
05.5.2021,"9,00","9,00","9,00","9,00","80,00",137.0,1.233
20.4.2021,"5,00","5,00","5,00","5,00","0,00",288.0,1.44
12.4.2021,"5,00","5,00","5,00","5,00","-37,50",2.504,12.52
02.4.2021,"8,00","8,00","8,00","8,00","-11,11",989.0,7.912
19.2.2021,"9,00","9,00","9,00","9,00","0,00",163.0,1.467
18.2.2021,"9,00","9,00","9,00","9,00","-40,00",137.0,1.233
10.8.2020,"15,00","15,00","15,00","15,00","25,00",300.0,4.5
10.7.2020,"12,00","12,00","12,00","12,00","-7,69",480.0,5.76
27.5.2020,"13,00","13,00","13,00","13,00","0,00",3.701,48.113
04.3.2020,"13,00","13,00","13,00","13,00","0,00",304.0,3.952
28.2.2020,"13,00","13,00","13,00","13,00","0,00",360.0,4.68
24.2.2020,"13,00","13,00","13,00","13,00","-13,33",303.0,3.939
30.12.2019,"15,00","15,00","15,00","15,00","0,00",200.0,3.0
20.12.2019,"15,00","15,00","15,00","15,00","-16,67",101.0,1.515
03.12.2019,"18,00","18,00","18,00","18,00","-10,00",1.0,18.0
21.10.2019,"20,00","20,00","20,00","20,00","0,00",1.55,31.0
17.10.2019,"20,00","20,00","20,00","20,00","0,00",2.0,40.0
25.9.2019,"20,00","20,00","20,00","20,00","-4,76",1.575,31.5
13.9.2019,"21,00","21,00","21,00","21,00","0,00",2.453,51.513
03.9.2019,"21,00","21,00","21,00","21,00","16,67",300.0,6.3
27.8.2019,"18,00","18,00","18,00","18,00","0,00",985.0,17.73
14.8.2019,"18,00","18,00","18,00","18,00","-14,29",183.0,3.294
06.8.2019,"21,00","21,00","21,00","21,00","0,00",2.35,49.35
03.7.2019,"21,00","21,00","21,00","21,00","0,00",814.0,17.094
02.7.2019,"21,00","21,00","21,00","21,00","5,00",100.0,2.1
26.6.2019,"20,00","20,00","20,00","20,00","-13,04",485.0,9.7
13.6.2019,"23,00","23,00","23,00","23,00","4,55",1.093,25.139
31.5.2019,"22,00","22,00","22,00","22,00","0,00",736.0,16.192
29.5.2019,"22,00","22,00","22,00","22,00","0,00",583.0,12.826
28.5.2019,"22,00","22,00","22,00","22,00","0,00",243.0,5.346
27.5.2019,"22,00","22,00","22,00","22,00","15,79",500.0,11.0
21.5.2019,"19,00","19,00","19,00","19,00","0,00",460.0,8.74
07.5.2019,"19,00","19,00","19,00","19,00","11,76",248.0,4.712
17.4.2019,"17,00","17,00","17,00","17,00","-5,56",931.0,15.827
16.4.2019,"18,00","18,00","18,00","18,00","0,00",354.0,6.372
22.3.2019,"18,00","18,00","18,00","18,00","-14,29",968.0,17.424
28.2.2019,"21,00","21,00","21,00","21,00","0,00",286.0,6.006
22.2.2019,"21,00","21,00","21,00","21,00","0,00",200.0,4.2
21.2.2019,"21,00","21,00","21,00","21,00","-25,00",300.0,6.3
14.2.2019,"28,00","28,00","28,00","28,00","3,70",1.185,33.18
13.2.2019,"27,00","27,00","27,00","27,00","28,57",498.0,13.446
01.2.2019,"21,00","21,00","21,00","21,00","0,00",380.0,7.98
29.1.2019,"21,00","21,00","21,00","21,00","0,00",400.0,8.4
23.1.2019,"21,00","21,00","21,00","21,00","0,00",3.618,75.978
22.1.2019,"21,00","21,00","21,00","21,00","10,53",211.0,4.431
21.1.2019,"19,00","19,00","19,00","19,00","0,00",500.0,9.5
11.1.2019,"19,00","19,00","19,00","19,00","26,67",566.0,10.754
02.1.2019,"15,00","15,00","15,00","15,00","0,00",1.5,22.5
17.12.2018,"15,00","15,00","15,00","15,00","-28,57",3.8,57.0
20.11.2018,"21,00","21,00","21,00","21,00","0,00",2.158,45.318
19.11.2018,"21,00","21,00","21,00","21,00","31,25",615.0,12.915
16.11.2018,"16,00","16,00","16,00","16,00","-20,00",1.65,26.4
17.10.2018,"20,00","20,00","20,00","20,00","0,00",300.0,6.0
05.10.2018,"20,00","20,00","20,00","20,00","0,00",353.0,7.06
26.9.2018,"20,00","20,00","20,00","20,00","-45,95",1.945,38.9
20.6.2018,"37,00","37,00","37,00","37,00","0,00",1.0,37.0
19.6.2018,"37,00","37,00","37,00","37,00","5,71",3.35,123.95
18.6.2018,"35,00","35,00","35,00","35,00","25,00",3.5,122.5
14.6.2018,"28,00","28,00","28,00","28,00","21,74",500.0,14.0
13.6.2018,"23,00","23,00","23,00","23,00","15,00",500.0,11.5
06.6.2018,"20,00","20,00","20,00","20,00","42,86",210.0,4.2
18.5.2018,"14,00","14,00","14,00","14,00","0,00",635.0,8.89
09.5.2018,"14,00","14,00","14,00","14,00","-6,67",250.0,3.5
02.5.2018,"15,00","15,00","15,00","15,00","7,14",2.1,31.5
