Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
18.10.2024,"577,00","577,00","577,00","577,00","15,40",135.0,77.895
09.10.2024,"500,00","500,00","500,00","500,00","-10,71",7.0,3.500
13.9.2024,"560,00","560,00","560,00","560,00","-0,18",4.0,2.240
09.8.2024,"561,00","561,00","561,00","561,00","2,94",65.0,36.465
08.8.2024,"545,00","545,00","545,00","545,00","2,83",35.0,19.075
07.8.2024,"530,00","530,00","530,00","530,00","2,91",93.0,49.290
30.7.2024,"515,00","515,00","515,00","515,00","3,00",47.0,24.205
29.7.2024,"500,00","500,00","500,00","500,00","0,00",12.0,6.000
28.6.2024,"500,00","500,00","500,00","500,00","0,00",7.0,3.500
06.6.2024,"500,00","500,00","500,00","500,00","36,24",50.0,25.000
22.2.2024,"367,00","367,00","367,00","367,00","0,00",11.0,4.037
27.12.2023,"367,00","367,00","367,00","367,00","0,00",7.0,2.569
05.12.2023,"367,00","367,00","367,00","367,00","0,27",10.0,3.670
28.11.2023,"366,00","366,00","366,00","366,00","0,00",10.0,3.660
27.11.2023,"366,00","366,00","366,00","366,00","0,00",12.0,4.392
07.8.2023,"366,00","366,00","366,00","366,00","0,27",10.0,3.660
28.7.2023,"365,00","365,00","365,00","365,00","0,00",10.0,3.650
23.6.2023,"365,00","365,00","365,00","365,00","2,82",12.0,4.380
15.6.2023,"355,00","355,00","355,00","355,00","-21,11",4.0,1.420
03.5.2023,"450,00","450,00","450,00","450,00","28,21",54.0,24.300
24.4.2023,"351,00","351,00","351,00","351,00","34,48",8.0,2.808
13.4.2023,"261,00","261,00","261,00","261,00","-13,29",11.0,2.871
15.2.2023,"301,00","301,00","301,00","301,00","-24,75",9.0,2.709
14.2.2023,"400,00","400,00","400,00","400,00","0,00",8.0,3.200
08.2.2023,"400,00","400,00","400,00","400,00","0,00",20.0,8.000
24.1.2023,"400,00","400,00","400,00","400,00","-11,11",9.0,3.600
27.10.2022,"450,00","450,00","450,00","450,00","7,66",11.0,4.950
17.10.2022,"418,00","418,00","418,00","418,00","-2,79",8.0,3.344
28.9.2022,"430,00","430,00","430,00","430,00","0,00",1.061,456.230
13.9.2022,"430,00","430,00","430,00","430,00","6,97",9.0,3.870
06.9.2022,"402,00","402,00","402,00","402,00","0,25",496.0,199.392
22.8.2022,"401,00","401,00","401,00","401,00","-10,89",8.0,3.208
11.8.2022,"450,00","450,00","450,00","450,00","-0,22",10.0,4.500
14.7.2022,"451,00","451,00","451,00","451,00","-1,10",6.0,2.706
04.7.2022,"456,00","456,00","456,00","456,00","-12,48",300.0,136.800
08.6.2022,"521,00","521,00","521,00","521,00","2,96",80.0,41.680
07.4.2022,"506,00","506,00","506,00","506,00","0,00",10.0,5.060
01.4.2022,"506,00","506,00","506,00","506,00","-2,32",100.0,50.600
31.3.2022,"518,00","518,00","518,00","518,00","3,60",117.0,60.606
23.2.2022,"500,00","500,00","500,00","500,00","0,00",883.0,441.500
29.12.2021,"500,00","500,00","500,00","500,00","18,48",400.0,200.000
24.11.2021,"422,00","422,00","422,00","422,00","-15,60",8.0,3.376
19.11.2021,"500,00","500,00","500,00","500,00","19,33",48.0,24.000
15.11.2021,"419,00","419,00","419,00","419,00","-0,24",9.0,3.771
15.10.2021,"420,00","420,00","420,00","420,00","-30,12",8.0,3.360
13.9.2021,"601,00","601,00","601,00","601,00","-4,75",24.0,14.424
12.7.2021,"631,00","631,00","631,00","631,00","-2,92",14.0,8.834
21.4.2021,"650,00","650,00","650,00","650,00","0,00",6.0,3.900
07.4.2021,"650,00","650,00","650,00","650,00","0,00",9.0,5.850
26.3.2021,"650,00","650,00","650,00","650,00","0,00",4.0,2.600
19.3.2021,"650,00","650,00","650,00","650,00","11,49",11.0,7.150
08.10.2020,"583,00","583,00","583,00","583,00","-16,83",1.797,1.047.651
24.2.2020,"701,00","701,00","701,00","701,00","0,00",6.0,4.206
21.2.2020,"701,00","701,00","701,00","701,00","0,00",6.0,4.206
19.2.2020,"701,00","701,00","701,00","701,00","-0,57",9.0,6.309
18.2.2020,"705,00","705,00","705,00","705,00","2,92",25.0,17.625
03.2.2020,"685,00","685,00","685,00","685,00","-0,72",10.0,6.850
24.1.2020,"690,00","690,00","690,00","690,00","-1,43",671.0,462.990
03.1.2020,"700,00","700,00","700,00","700,00","0,00",8.0,5.600
30.12.2019,"700,00","700,00","700,00","700,00","0,00",72.0,50.400
26.12.2019,"700,00","700,00","700,00","700,00","6,06",161.0,112.700
06.12.2019,"660,00","660,00","660,00","660,00","0,00",10.0,6.600
27.11.2019,"660,00","660,00","660,00","660,00","1,38",50.0,33.000
19.11.2019,"651,00","651,00","651,00","651,00","9,60",250.0,162.750
14.11.2019,"594,00","594,00","594,00","594,00","2,95",10.0,5.940
05.11.2019,"577,00","577,00","577,00","577,00","-11,23",100.0,57.700
23.9.2019,"650,00","650,00","650,00","650,00","14,04",47.0,30.550
19.9.2019,"570,00","570,00","570,00","570,00","0,00",6.0,3.420
27.8.2019,"570,00","570,00","570,00","570,00","-12,31",12.0,6.840
06.8.2019,"650,00","650,00","650,00","650,00","11,68",300.0,195.000
03.7.2019,"582,00","582,00","582,00","582,00","-3,00",100.0,58.200
12.6.2019,"600,00","600,00","600,00","600,00","0,00",642.0,385.200
03.6.2019,"600,00","600,00","600,00","600,00","0,00",17.0,10.200
07.5.2019,"600,00","600,00","600,00","600,00","5,26",5.0,3.000
07.3.2019,"570,00","570,00","570,00","570,00","6,34",12.0,6.840
01.3.2019,"536,00","536,00","536,00","536,00","-2,90",9.0,4.824
21.2.2019,"552,00","552,00","552,00","552,00","9,74",13.0,7.176
15.2.2019,"503,00","503,00","503,00","503,00","4,57",12.0,6.036
13.2.2019,"481,00","481,00","481,00","481,00","-9,25",10.0,4.810
04.2.2019,"530,00","530,00","530,00","530,00","-4,50",17.0,9.010
27.12.2018,"555,00","555,00","555,00","555,00","0,91",9.0,4.995
26.11.2018,"550,00","550,00","550,00","550,00","0,00",9.0,4.950
21.11.2018,"550,00","550,00","550,00","550,00","0,00",58.0,31.900
14.11.2018,"550,00","550,00","550,00","550,00","0,00",61.0,33.550
06.11.2018,"550,00","550,00","550,00","550,00","4,56",4.0,2.200
21.9.2018,"526,00","526,00","526,00","526,00","0,00",30.0,15.780
03.9.2018,"526,00","526,00","526,00","526,00","0,00",7.0,3.682
30.8.2018,"526,00","526,00","526,00","526,00","2,94",13.0,6.838
17.8.2018,"511,00","511,00","511,00","511,00","0,00",50.0,25.550
16.8.2018,"511,00","511,00","511,00","511,00","10,37",125.0,63.875
01.8.2018,"463,00","463,00","463,00","463,00","0,00",8.0,3.704
21.6.2018,"463,00","463,00","463,00","463,00","14,32",10.0,4.630
14.6.2018,"405,00","405,00","405,00","405,00","-10,00",13.0,5.265
24.4.2018,"450,00","450,00","450,00","450,00","0,00",373.0,167.850
29.3.2018,"450,00","450,00","450,00","450,00","0,00",2.0,900
22.3.2018,"450,00","450,00","450,00","450,00","-0,22",7.0,3.150
12.2.2018,"451,00","451,00","451,00","451,00","-9,80",8.0,3.608
08.2.2018,"500,00","500,00","500,00","500,00","11,11",107.0,53.500
31.1.2018,"450,00","450,00","450,00","450,00","0,00",9.0,4.050
15.1.2018,"450,00","450,00","450,00","450,00","0,00",9.0,4.050
07.12.2017,"450,00","450,00","450,00","450,00","0,00",92.0,41.400
22.11.2017,"450,00","450,00","450,00","450,00","1,81",8.0,3.600
02.11.2017,"442,00","442,00","442,00","442,00","2,79",43.0,19.006
16.10.2017,"430,00","430,00","430,00","430,00","0,00",14.0,6.020
05.10.2017,"430,00","430,00","430,00","430,00","0,00",8.0,3.440
04.10.2017,"430,00","430,00","430,00","430,00","0,00",13.0,5.590
21.9.2017,"430,00","430,00","430,00","430,00","7,23",17.0,7.310
12.7.2017,"401,00","401,00","401,00","401,00","0,25",9.0,3.609
16.5.2017,"400,00","400,00","400,00","400,00","-13,98",8.0,3.200
03.4.2017,"465,00","465,00","465,00","465,00","2,88",238.0,110.670
06.3.2017,"452,00","452,00","452,00","452,00","7,36",202.0,91.304
10.2.2017,"421,00","421,00","421,00","421,00","0,00",8.0,3.368
06.2.2017,"421,00","421,00","421,00","421,00","7,95",13.0,5.473
23.1.2017,"390,00","390,00","390,00","390,00","-0,26",60.0,23.400
18.1.2017,"391,00","391,00","391,00","391,00","-1,01",60.0,23.460
17.11.2016,"395,00","395,00","395,00","395,00","6,76",6.0,2.370
12.10.2016,"370,00","370,00","370,00","370,00","-1,07",50.0,18.500
17.8.2016,"374,00","374,00","374,00","374,00","0,00",60.0,22.440
16.8.2016,"374,00","374,00","374,00","374,00","-2,86",750.0,280.500
11.7.2016,"385,00","385,00","385,00","385,00","0,00",500.0,192.500
22.4.2016,"385,00","385,00","385,00","385,00","-1,03",362.0,139.370
20.4.2016,"389,00","389,00","389,00","389,00","0,00",750.0,291.750
19.4.2016,"389,00","389,00","389,00","389,00","11,14",250.0,97.250
08.4.2016,"350,00","350,00","350,00","350,00","-22,22",250.0,87.500
17.11.2015,"450,00","450,00","450,00","450,00","28,57",120.0,54.000
10.9.2015,"350,00","350,00","350,00","350,00","0,00",77.0,26.950
09.9.2015,"350,00","350,00","350,00","350,00","-0,28",60.0,21.000
24.7.2015,"351,00","351,00","351,00","351,00","-12,25",200.0,70.200
05.6.2015,"400,00","400,00","400,00","400,00","14,29",12.0,4.800
04.6.2015,"350,00","350,00","350,00","350,00","0,00",600.0,210.000
13.5.2015,"350,00","350,00","350,00","350,00","-12,06",79.0,27.650
08.5.2015,"398,00","398,00","398,00","398,00","-2,93",60.0,23.880
12.2.2015,"410,00","410,00","410,00","410,00","0,00",21.0,8.610
20.1.2015,"410,00","410,00","410,00","410,00","0,00",20.0,8.200
26.12.2014,"410,00","410,00","410,00","410,00","5,13",8.0,3.280
23.12.2014,"390,00","390,00","390,00","390,00","-5,34",7.0,2.730
20.11.2014,"412,00","412,00","412,00","412,00","0,00",50.0,20.600
18.11.2014,"412,00","412,00","412,00","412,00","3,00",120.0,49.440
18.10.2024,"577,00","577,00","577,00","577,00","15,40",135,77.895
