Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
23.12.2022,"20,00","20,00","20,00","20,00","0,00",21.0,420.000
22.12.2022,"20,00","20,00","20,00","20,00","-28,57",600.0,12.000
26.10.2022,"28,00","28,00","28,00","28,00","0,00",96.0,2.688
28.9.2022,"28,00","28,00","28,00","28,00","0,00",34.0,952
17.7.2020,"28,00","28,00","28,00","28,00","0,00",12.9,361.200
16.7.2020,"28,00","28,00","28,00","28,00","16,67",12.125,339.500
10.6.2020,"24,00","24,00","24,00","24,00","-4,00",228.0,5.472
02.6.2020,"25,00","25,00","25,00","25,00","31,58",2.087,52.175
21.4.2020,"19,00","19,00","19,00","19,00","11,76",524.0,9.956
12.3.2020,"17,00","17,00","17,00","17,00","0,00",28.0,476
10.3.2020,"17,00","17,00","17,00","17,00","-15,00",529.0,8.993
30.10.2019,"20,00","20,00","20,00","20,00","66,67",13.0,260
18.9.2019,"12,00","12,00","12,00","12,00","0,00",37.0,444
04.9.2019,"12,00","12,00","12,00","12,00","0,00",960.0,11.520
23.8.2019,"12,00","12,00","12,00","12,00","0,00",33.0,396
07.5.2019,"12,00","12,00","12,00","12,00","0,00",13.0,156
09.4.2019,"12,00","12,00","12,00","12,00","0,00",17.35,208.200
19.3.2019,"12,00","12,00","12,00","12,00","20,00",36.0,432
14.2.2019,"10,00","10,00","10,00","10,00","0,00",43.174,431.740
06.2.2019,"10,00","10,00","10,00","10,00","0,00",200.0,2.000
28.9.2018,"10,00","10,00","10,00","10,00","0,00",51.0,510
16.8.2018,"10,00","10,00","10,00","10,00","0,00",600.0,6.000
29.5.2018,"10,00","10,00","10,00","10,00","25,00",2.0,20.000
07.3.2018,"8,00","8,00","8,00","8,00","0,00",1.0,8.000
04.10.2017,"8,00","8,00","8,00","8,00","-57,89",36.0,288
01.9.2017,"19,00","19,00","19,00","19,00","0,00",1.0,19.000
22.8.2017,"19,00","19,00","19,00","19,00","0,00",1.0,19.000
18.8.2017,"19,00","19,00","19,00","19,00","0,00",1.477,28.063
14.8.2017,"19,00","19,00","19,00","19,00","90,00",2.319,44.061
25.7.2017,"10,00","10,00","10,00","10,00","42,86",390.0,3.900
17.2.2017,"7,00","7,00","7,00","7,00","0,00",38.897,272.279
26.1.2017,"7,00","7,00","7,00","7,00","0,00",38.207,267.449
25.1.2017,"7,00","7,00","7,00","7,00","0,00",46.308,324.156
24.1.2017,"7,00","7,00","7,00","7,00","0,00",26.462,185.234
23.1.2017,"7,00","7,00","7,00","7,00","0,00",10.0,70.000
20.1.2017,"7,00","7,00","7,00","7,00","0,00",71.0,497.000
08.11.2016,"7,00","7,00","7,00","7,00","0,00",211.117,1.477.819
12.1.2016,"7,00","7,00","7,00","7,00","0,00",500.0,3.500
04.1.2016,"7,00","7,00","7,00","7,00","0,00",47.0,329
19.8.2015,"7,00","7,00","7,00","7,00","-30,00",24.0,168
