Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
08.11.2024,"45,00","45,00","45,00","45,00","0,00",1.0,45.000
04.11.2024,"45,00","45,00","45,00","45,00","0,00",200.0,9.000
25.9.2024,"45,00","45,00","45,00","45,00","0,00",800.0,36.000
23.9.2024,"45,00","45,00","45,00","45,00","0,00",1.38,62.100
11.9.2024,"45,00","45,00","45,00","45,00","0,00",166.0,7.470
03.9.2024,"45,00","45,00","45,00","45,00","0,00",152.0,6.840
01.8.2024,"45,00","45,00","45,00","45,00","0,00",284.0,12.780
03.7.2024,"45,00","45,00","45,00","45,00","0,00",2.55,114.750
01.7.2024,"45,00","45,00","45,00","45,00","-11,76",100.0,4.500
03.6.2024,"51,00","51,00","51,00","51,00","-1,92",250.0,12.750
30.5.2024,"52,00","52,00","52,00","52,00","0,00",1.73,89.960
27.5.2024,"52,00","52,00","52,00","52,00","1,96",1.025,53.300
26.4.2024,"51,00","51,00","51,00","51,00","0,00",360.0,18.360
15.4.2024,"51,00","51,00","51,00","51,00","0,00",70.0,3.570
12.4.2024,"51,00","51,00","51,00","51,00","-1,92",570.0,29.070
21.3.2024,"52,00","52,00","52,00","52,00","0,00",86.0,4.472
18.3.2024,"52,00","52,00","52,00","52,00","0,00",352.0,18.304
14.3.2024,"52,00","52,00","52,00","52,00","1,96",636.0,33.072
05.3.2024,"51,00","51,00","51,00","51,00","0,00",964.0,49.164
13.2.2024,"51,00","51,00","51,00","51,00","2,00",270.0,13.770
07.2.2024,"50,00","50,00","50,00","50,00","0,00",100.0,5.000
05.12.2023,"50,00","50,00","50,00","50,00","0,00",200.0,10.000
29.11.2023,"50,00","50,00","50,00","50,00","0,00",199.0,9.950
27.11.2023,"50,00","50,00","50,00","50,00","0,00",912.0,45.600
24.11.2023,"50,00","50,00","50,00","50,00","0,00",2.0,100.000
23.11.2023,"50,00","50,00","50,00","50,00","0,00",2.0,100.000
15.11.2023,"50,00","50,00","50,00","50,00","0,00",1.5,75.000
14.11.2023,"50,00","50,00","50,00","50,00","0,00",2.617,130.850
03.11.2023,"50,00","50,00","50,00","50,00","0,00",2.0,100.000
02.11.2023,"50,00","50,00","50,00","50,00","0,00",1.76,88.000
01.11.2023,"50,00","50,00","50,00","50,00","0,00",762.0,38.100
27.10.2023,"50,00","50,00","50,00","50,00","0,00",3.0,150.000
26.10.2023,"50,00","50,00","50,00","50,00","0,00",1.0,50.000
25.10.2023,"50,00","50,00","50,00","50,00","0,00",6.0,300.000
