Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
31.10.2024,"3.300,00","3.300,00","3.300,00","3.300,00","1,51",836.0,2.758.800
28.10.2024,"3.300,00","3.300,00","3.250,00","3.251,03","1,59",242.0,786.750
24.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",150.0,480.000
22.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",90.0,288.000
18.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",111.0,355.200
16.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",504.0,1.612.800
14.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","-1,52",540.0,1.728.000
10.10.2024,"3.250,00","3.250,00","3.220,00","3.249,45","1,52",219.0,711.630
09.10.2024,"3.201,00","3.201,00","3.200,00","3.200,78","0,02",654.0,2.093.308
08.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",156.0,499.200
07.10.2024,"3.199,00","3.200,00","3.199,00","3.199,87","0,00",1.145,3.663.847
04.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",9.408,30.105.600
02.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",352.0,1.126.400
01.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",100.0,320.000
23.9.2024,"3.220,00","3.220,00","3.200,00","3.200,05","-0,93",432.0,1.382.420
20.9.2024,"3.230,00","3.230,00","3.230,00","3.230,00","-0,57",70.0,226.100
19.9.2024,"3.250,00","3.250,00","3.200,00","3.248,61","1,49",3.614,11.740.480
18.9.2024,"3.201,00","3.201,00","3.200,00","3.200,83","0,03",90.0,288.075
17.9.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",15.0,48.000
16.9.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",1.167,3.734.400
13.9.2024,"3.200,00","3.201,00","3.200,00","3.200,05","0,00",1.344,4.300.862
12.9.2024,"3.200,00","3.200,00","3.199,00","3.199,97","6,12",3.839,12.284.683
11.9.2024,"3.015,00","3.016,00","3.015,00","3.015,55","0,02",40.0,120.622
10.9.2024,"3.015,00","3.015,00","3.015,00","3.015,00","-7,55",17.0,51.255
29.8.2024,"3.250,00","3.270,00","3.250,00","3.261,05","0,52",324.0,1.056.580
27.8.2024,"3.275,00","3.298,00","3.199,00","3.244,20","1,30",3.016,9.784.516
23.8.2024,"3.210,00","3.210,00","3.150,00","3.202,64","0,08",1.849,5.921.677
19.8.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,31",51.0,163.200
16.8.2024,"3.190,00","3.190,00","3.190,00","3.190,00","-4,77",30.0,95.700
14.8.2024,"3.341,00","3.350,00","3.341,00","3.349,73","-9,76",134.0,448.864
08.8.2024,"3.700,00","4.000,00","3.699,00","3.712,20","0,35",660.0,2.450.052
07.8.2024,"3.700,00","3.700,00","3.697,00","3.699,12","9,02",89.0,329.222
06.8.2024,"3.393,00","3.393,00","3.393,00","3.393,00","1,28",65.0,220.545
05.8.2024,"3.350,00","3.350,00","3.350,00","3.350,00","1,69",4.0,13.400
01.8.2024,"3.300,00","3.300,00","3.290,00","3.294,26","6,94",47.0,154.830
31.7.2024,"3.010,00","3.100,00","3.010,00","3.080,43","-0,63",128.0,394.295
30.7.2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",10.0,31.000
18.7.2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",5.0,15.500
15.7.2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",117.0,362.700
10.7.2024,"3.100,00","3.100,00","3.100,00","3.100,00","-0,03",35.0,108.500
04.7.2024,"3.101,00","3.101,00","3.101,00","3.101,00","3,37",9.0,27.909
25.6.2024,"3.000,00","3.000,00","3.000,00","3.000,00","-8,54",46.0,138.000
20.6.2024,"3.280,00","3.280,00","3.280,00","3.280,00","0,00",35.0,114.800
19.6.2024,"3.280,00","3.280,00","3.280,00","3.280,00","1,11",25.0,82.000
18.6.2024,"3.244,00","3.244,00","3.244,00","3.244,00","2,98",1.292,4.191.248
13.6.2024,"3.150,00","3.150,00","3.150,00","3.150,00","0,20",44.0,138.600
12.6.2024,"3.150,00","3.193,00","3.100,00","3.143,67","1,41",45.0,141.465
07.6.2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",10.0,31.000
06.6.2024,"3.100,00","3.100,00","3.100,00","3.100,00","1,64",100.0,310.000
04.6.2024,"3.050,00","3.050,00","3.050,00","3.050,00","1,67",50.0,152.500
31.5.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",25.0,75.000
27.5.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",50.0,150.000
22.5.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",55.0,165.000
21.5.2024,"3.000,00","3.000,00","2.999,00","2.999,91","0,00",114.0,341.990
13.5.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,44",50.0,150.000
26.4.2024,"2.987,00","2.987,00","2.987,00","2.987,00","3,00",9.0,26.883
17.4.2024,"2.900,00","2.900,00","2.900,00","2.900,00","5,26",33.0,95.700
15.4.2024,"2.811,00","2.811,00","2.730,00","2.755,21","0,92",33.0,90.922
12.4.2024,"2.730,00","2.730,00","2.730,00","2.730,00","1,11",10.0,27.300
08.4.2024,"2.700,00","2.700,00","2.700,00","2.700,00","0,04",70.0,189.000
04.4.2024,"2.700,00","2.700,00","2.651,00","2.698,84","7,78",212.0,572.155
03.4.2024,"2.504,00","2.504,00","2.504,00","2.504,00","-6,34",6.0,15.024
02.4.2024,"2.700,00","2.700,00","2.649,00","2.673,42","1,00",76.0,203.180
27.3.2024,"2.647,00","2.647,00","2.647,00","2.647,00","0,00",550.0,1.455.850
26.3.2024,"2.647,00","2.647,00","2.647,00","2.647,00","3,00",7.0,18.529
19.3.2024,"2.570,00","2.570,00","2.570,00","2.570,00","-2,98",110.0,282.700
18.3.2024,"2.649,00","2.649,00","2.649,00","2.649,00","9,87",10.0,26.490
07.3.2024,"2.411,00","2.411,00","2.411,00","2.411,00","-5,45",16.0,38.576
01.3.2024,"2.550,00","2.550,00","2.550,00","2.550,00","0,00",11.0,28.050
27.2.2024,"2.550,00","2.550,00","2.550,00","2.550,00","-0,01",935.0,2.384.250
