Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
18.6.2024,"30,00","30,00","30,00","30,00","0,00",100.0,3.000
17.1.2020,"30,00","30,00","30,00","30,00","0,00",100.0,3.000
27.9.2017,"30,00","30,00","30,00","30,00","0,00",2.516,75.480
19.4.2017,"30,00","30,00","30,00","30,00","0,00",399.0,11.970
07.9.2016,"30,00","30,00","30,00","30,00","0,00",1.425,42.750
09.5.2016,"30,00","30,00","30,00","30,00","0,00",687.0,20.610
24.11.2015,"30,00","30,00","30,00","30,00","0,00",1.355,40.650
27.8.2015,"30,00","30,00","30,00","30,00","0,00",51.59,1.547.700
14.5.2015,"30,00","30,00","30,00","30,00","0,00",3.228,96.840
18.6.2024,"30,00","30,00","30,00","30,00","0,00",100,3.000
