Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
15.6.2023,"70,00","70,00","70,00","70,00","0,00",234.0,16.38
09.2.2021,"70,00","70,00","70,00","70,00","0,00",4.082,285.74
06.11.2020,"70,00","70,00","70,00","70,00","0,00",320.0,22.4
29.9.2020,"70,00","70,00","70,00","70,00","0,00",234.0,16.38
13.3.2019,"70,00","70,00","70,00","70,00","0,00",313.0,21.91
22.1.2019,"70,00","70,00","70,00","70,00","0,00",450.0,31.5
21.1.2019,"70,00","70,00","70,00","70,00","0,00",300.0,21.0
05.11.2018,"70,00","70,00","70,00","70,00","0,00",250.0,17.5
15.10.2018,"70,00","70,00","70,00","70,00","0,00",300.0,21.0
11.4.2016,"70,00","70,00","70,00","70,00","0,00",182.0,12.74
10.11.2015,"70,00","70,00","70,00","70,00","0,00",270.0,18.9
13.2.2015,"70,00","70,00","70,00","70,00","0,00",670.0,46.9
09.1.2015,"70,00","70,00","70,00","70,00","0,00",250.0,17.5
18.12.2014,"70,00","70,00","70,00","70,00","0,00",620.0,43.4
09.12.2014,"70,00","70,00","70,00","70,00","0,00",350.0,24.5
02.12.2014,"70,00","70,00","70,00","70,00","0,00",304.0,21.28
26.11.2014,"70,00","70,00","70,00","70,00","0,00",263.0,18.41
20.11.2014,"70,00","70,00","70,00","70,00","0,00",420.0,29.4
