Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
28.5.2024,"4.000,00","4.000,00","4.000,00","4.000,00","-29,39",10.0,40.000
26.8.2021,"5.665,00","5.665,00","5.665,00","5.665,00","3,00",1.0,5.665
12.7.2021,"5.500,00","5.500,00","5.500,00","5.500,00","120,00",2.0,11.000
06.7.2021,"2.500,00","2.500,00","2.500,00","2.500,00","-73,62",11.0,27.500
14.1.2020,"9.476,00","9.476,00","9.476,00","9.476,00","0,00",75.0,710.700
25.12.2019,"9.476,00","9.476,00","9.476,00","9.476,00","3,00",25.0,236.900
23.12.2019,"9.200,00","9.200,00","9.200,00","9.200,00","0,00",10.0,92.000
20.12.2019,"9.200,00","9.200,00","9.200,00","9.200,00","1,55",4.0,36.800
19.12.2019,"9.060,00","9.060,00","9.060,00","9.060,00","2,95",15.0,135.900
18.12.2019,"8.800,00","8.800,00","8.800,00","8.800,00","2,33",40.0,352.000
16.12.2019,"8.600,00","8.600,00","8.600,00","8.600,00","1,90",72.0,619.200
12.12.2019,"8.440,00","8.440,00","8.440,00","8.440,00","2,79",20.0,168.800
10.12.2019,"8.211,00","8.211,00","8.211,00","8.211,00","5,27",50.0,410.550
29.11.2019,"7.800,00","7.800,00","7.800,00","7.800,00","2,63",128.0,998.400
27.11.2019,"7.600,00","7.600,00","7.600,00","7.600,00","2,70",40.0,304.000
26.11.2019,"7.400,00","7.400,00","7.400,00","7.400,00","2,64",200.0,1.480.000
20.11.2019,"7.210,00","7.210,00","7.210,00","7.210,00","0,00",150.0,1.081.500
18.11.2019,"7.210,00","7.210,00","7.210,00","7.210,00","3,00",40.0,288.400
05.11.2019,"7.000,00","7.000,00","7.000,00","7.000,00","6,06",26.0,182.000
28.10.2019,"6.600,00","6.600,00","6.600,00","6.600,00","12,82",35.0,231.000
25.10.2019,"5.850,00","5.850,00","5.850,00","5.850,00","19,39",50.0,292.500
21.10.2019,"4.900,00","4.900,00","4.900,00","4.900,00","17,82",5.0,24.500
16.10.2019,"4.159,00","4.159,00","4.159,00","4.159,00","18,32",20.0,83.180
03.10.2019,"3.515,00","3.515,00","3.515,00","3.515,00","6,58",70.0,246.050
06.9.2019,"3.298,00","3.298,00","3.298,00","3.298,00","0,00",530.0,1.747.940
05.8.2019,"3.298,00","3.298,00","3.298,00","3.298,00","0,00",10.0,32.980
17.5.2017,"3.298,00","3.298,00","3.298,00","3.298,00","-2,97",10.0,32.980
12.5.2017,"3.399,00","3.399,00","3.399,00","3.399,00","3,00",100.0,339.900
11.5.2017,"3.300,00","3.300,00","3.300,00","3.300,00","-2,94",9.0,29.700
08.5.2017,"3.400,00","3.400,00","3.400,00","3.400,00","-2,86",5.0,17.000
04.5.2017,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",15.0,52.500
26.4.2017,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",96.0,336.000
21.4.2017,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",30.0,105.000
03.2.2017,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",9.0,31.500
10.1.2017,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",6.0,21.000
13.12.2016,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",94.0,329.000
09.12.2016,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",26.0,91.000
01.12.2016,"3.500,00","3.500,00","3.500,00","3.500,00","-2,18",42.0,147.000
18.11.2016,"3.578,00","3.578,00","3.578,00","3.578,00","19,99",10.0,35.780
28.10.2016,"2.982,00","2.982,00","2.982,00","2.982,00","0,00",14.0,41.748
04.10.2016,"2.982,00","2.982,00","2.982,00","2.982,00","20,00",2.447,7.296.954
03.10.2016,"2.485,00","2.485,00","2.485,00","2.485,00","0,00",177.0,439.845
16.8.2016,"2.485,00","2.485,00","2.485,00","2.485,00","0,00",34.0,84.490
18.1.2016,"2.485,00","2.485,00","2.485,00","2.485,00","19,99",205.0,509.425
21.12.2015,"2.071,00","2.071,00","2.071,00","2.071,00","0,00",172.0,356.212
18.11.2015,"2.071,00","2.071,00","2.071,00","2.071,00","0,00",100.0,207.100
11.11.2015,"2.071,00","2.071,00","2.071,00","2.071,00","3,50",170.0,352.070
20.10.2015,"2.001,00","2.001,00","2.001,00","2.001,00","0,00",10.0,20.010
07.10.2015,"2.001,00","2.001,00","2.001,00","2.001,00","0,05",9.0,18.009
29.9.2015,"2.000,00","2.000,00","2.000,00","2.000,00","-0,05",136.0,272.000
11.2.2015,"2.001,00","2.001,00","2.001,00","2.001,00","29,10",20.0,40.020
28.5.2024,"4.000,00","4.000,00","4.000,00","4.000,00","-29,39",10,40.000
