Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
08.11.2024,"1.964,00","1.964,00","1.964,00","1.964,00","-0,27",155.0,304.420
07.11.2024,"1.967,00","1.975,00","1.967,00","1.969,28","-0,28",642.0,1.264.276
06.11.2024,"1.975,00","1.990,00","1.970,00","1.974,75","0,29",295.0,582.550
05.11.2024,"1.969,00","1.969,00","1.969,00","1.969,00","-1,40",25.0,49.225
04.11.2024,"1.997,00","1.997,00","1.997,00","1.997,00","0,00",27.0,53.919
01.11.2024,"1.997,00","1.997,00","1.997,00","1.997,00","2,02",138.0,275.586
31.10.2024,"1.960,00","1.960,00","1.950,00","1.957,51","0,99",1.065,2.084.750
30.10.2024,"1.938,00","1.949,00","1.920,00","1.938,29","0,95",434.0,841.220
28.10.2024,"1.920,00","1.920,00","1.920,00","1.920,00","0,35",115.0,220.800
25.10.2024,"1.900,00","1.919,00","1.900,00","1.913,26","-0,35",43.0,82.270
22.10.2024,"1.920,00","1.920,00","1.920,00","1.920,00","0,00",300.0,576.000
21.10.2024,"1.920,00","1.920,00","1.920,00","1.920,00","-1,44",65.0,124.800
18.10.2024,"1.948,00","1.948,00","1.948,00","1.948,00","1,10",5.0,9.740
16.10.2024,"1.920,00","1.950,00","1.899,00","1.926,71","-1,19",112.0,215.792
15.10.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,00",560.0,1.092.000
09.10.2024,"1.950,00","1.950,00","1.950,00","1.950,00","-0,46",95.0,185.250
08.10.2024,"1.959,00","1.959,00","1.959,00","1.959,00","1,09",10.0,19.590
07.10.2024,"1.939,00","1.939,00","1.935,00","1.937,92","-1,09",425.0,823.615
04.10.2024,"1.959,00","1.965,00","1.959,00","1.959,34","1,04",318.0,623.070
02.10.2024,"1.940,00","1.940,00","1.939,00","1.939,13","-0,99",265.0,513.870
30.9.2024,"1.939,00","1.964,00","1.939,00","1.958,53","2,52",320.0,626.730
27.9.2024,"1.910,00","1.911,00","1.910,00","1.910,33","-2,69",150.0,286.550
26.9.2024,"1.964,00","1.964,00","1.963,00","1.963,15","2,95",59.0,115.826
