Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
01.11.2024,"650,00","650,00","650,00","650,00","-14,47",43.0,27.950
24.9.2024,"760,00","760,00","760,00","760,00","-0,13",32.0,24.320
13.9.2024,"761,00","761,00","761,00","761,00","0,79",100.0,76.100
09.8.2024,"755,00","755,00","755,00","755,00","-2,96",150.0,113.250
08.7.2024,"778,00","778,00","778,00","778,00","2,91",130.0,101.140
05.7.2024,"756,00","756,00","756,00","756,00","0,00",11.0,8.316
20.6.2024,"756,00","756,00","756,00","756,00","0,40",178.0,134.568
18.6.2024,"753,00","753,00","753,00","753,00","0,13",33.0,24.849
12.6.2024,"752,00","752,00","752,00","752,00","0,27",119.0,89.488
11.6.2024,"750,00","750,00","750,00","750,00","0,00",87.0,65.250
30.5.2024,"750,00","750,00","750,00","750,00","0,00",40.0,30.000
27.5.2024,"750,00","750,00","750,00","750,00","0,00",142.0,106.500
09.5.2024,"750,00","750,00","750,00","750,00","0,00",100.0,75.000
02.5.2024,"750,00","750,00","750,00","750,00","0,00",33.0,24.750
19.4.2024,"750,00","750,00","750,00","750,00","0,00",3.0,2.250
29.3.2024,"750,00","750,00","750,00","750,00","0,00",58.0,43.500
26.3.2024,"750,00","750,00","750,00","750,00","2,74",119.0,89.250
04.3.2024,"730,00","730,00","730,00","730,00","0,00",51.0,37.230
21.2.2024,"730,00","730,00","730,00","730,00","-2,67",123.0,89.790
08.2.2024,"750,00","750,00","750,00","750,00","6,99",45.0,33.750
07.2.2024,"701,00","701,00","701,00","701,00","0,00",70.0,49.070
05.2.2024,"701,00","701,00","701,00","701,00","-12,38",36.0,25.236
16.5.2023,"800,00","800,00","800,00","800,00","-5,88",113.0,90.400
02.5.2023,"850,00","850,00","850,00","850,00","7,59",120.0,102.000
18.4.2023,"790,00","790,00","790,00","790,00","0,00",140.0,110.600
31.3.2023,"790,00","790,00","790,00","790,00","-1,25",105.0,82.950
29.12.2022,"800,00","800,00","800,00","800,00","0,00",105.0,84.000
26.12.2022,"800,00","800,00","800,00","800,00","1,91",40.0,32.000
23.12.2022,"785,00","785,00","785,00","785,00","1,16",100.0,78.500
22.12.2022,"776,00","776,00","776,00","776,00","0,00",777.0,602.952
20.12.2022,"776,00","776,00","776,00","776,00","-3,00",1.28,993.280
27.9.2022,"800,00","800,00","800,00","800,00","0,00",35.0,28.000
13.9.2022,"800,00","800,00","800,00","800,00","0,00",107.0,85.600
07.9.2022,"800,00","800,00","800,00","800,00","0,00",50.0,40.000
02.9.2022,"800,00","800,00","800,00","800,00","15,61",40.0,32.000
26.8.2022,"692,00","692,00","692,00","692,00","3,28",13.0,8.996
09.8.2022,"670,00","670,00","670,00","670,00","1,06",19.0,12.730
21.7.2022,"663,00","663,00","663,00","663,00","10,13",100.0,66.300
20.7.2022,"602,00","602,00","602,00","602,00","0,00",31.0,18.662
24.6.2022,"602,00","602,00","602,00","602,00","28,63",270.0,162.540
23.6.2022,"468,00","468,00","468,00","468,00","2,86",22.0,10.296
20.5.2022,"455,00","455,00","455,00","455,00","0,89",19.0,8.645
17.5.2022,"451,00","451,00","451,00","451,00","-6,04",180.0,81.180
03.2.2022,"480,00","480,00","480,00","480,00","0,00",50.0,24.000
31.1.2022,"480,00","480,00","480,00","480,00","1,69",140.0,67.200
10.1.2022,"472,00","472,00","472,00","472,00","0,00",140.0,66.080
28.9.2021,"472,00","472,00","472,00","472,00","-2,88",128.0,60.416
19.3.2021,"486,00","486,00","486,00","486,00","0,00",258.0,125.388
02.3.2021,"486,00","486,00","486,00","486,00","-2,99",3.365,1.635.390
01.3.2021,"501,00","501,00","501,00","501,00","-11,95",5.0,2.505
11.2.2021,"569,00","569,00","569,00","569,00","0,18",36.0,20.484
05.2.2021,"568,00","568,00","568,00","568,00","3,27",69.0,39.192
02.12.2020,"550,00","550,00","550,00","550,00","0,00",69.0,37.950
03.9.2020,"550,00","550,00","550,00","550,00","-15,38",100.0,55.000
07.4.2020,"650,00","650,00","650,00","650,00","10,17",120.0,78.000
23.3.2020,"590,00","590,00","590,00","590,00","-9,92",20.0,11.800
04.3.2020,"655,00","655,00","655,00","655,00","0,00",8.0,5.240
21.2.2020,"655,00","655,00","655,00","655,00","-1,06",141.0,92.355
10.2.2020,"662,00","662,00","662,00","662,00","0,91",320.0,211.840
31.1.2020,"656,00","656,00","656,00","656,00","-0,15",50.0,32.800
24.1.2020,"657,00","657,00","657,00","657,00","0,15",35.0,22.995
21.1.2020,"656,00","656,00","656,00","656,00","0,00",4.0,2.624
16.1.2020,"656,00","656,00","656,00","656,00","0,00",4.0,2.624
14.1.2020,"656,00","656,00","656,00","656,00","0,15",1.0,656
10.1.2020,"655,00","655,00","655,00","655,00","-0,15",33.0,21.615
02.1.2020,"656,00","656,00","656,00","656,00","0,00",24.0,15.744
24.12.2019,"656,00","656,00","656,00","656,00","-16,86",50.0,32.800
11.11.2019,"789,00","789,00","789,00","789,00","-2,95",200.0,157.800
30.10.2019,"813,00","813,00","813,00","813,00","-2,17",25.0,20.325
29.10.2019,"831,00","831,00","831,00","831,00","-2,92",100.0,83.100
28.10.2019,"856,00","856,00","856,00","856,00","-2,95",100.0,85.600
25.10.2019,"882,00","882,00","882,00","882,00","-0,23",100.0,88.200
30.9.2019,"884,00","884,00","884,00","884,00","11,90",150.0,132.600
26.9.2019,"790,00","790,00","790,00","790,00","0,00",20.0,15.800
13.9.2019,"790,00","790,00","790,00","790,00","0,00",145.0,114.550
23.8.2019,"790,00","790,00","790,00","790,00","-16,75",120.0,94.800
20.5.2019,"949,00","949,00","949,00","949,00","2,04",90.0,85.410
17.5.2019,"930,00","930,00","930,00","930,00","-2,00",98.0,91.140
13.5.2019,"949,00","949,00","949,00","949,00","3,72",15.0,14.235
03.5.2019,"915,00","915,00","915,00","915,00","1,65",70.0,64.050
02.5.2019,"899,00","901,00","899,00","900,13","1,02",272.0,244.835
30.4.2019,"891,00","891,00","891,00","891,00","10,00",56.0,49.896
21.3.2019,"810,00","810,00","810,00","810,00","-10,00",105.0,85.050
05.3.2019,"900,00","900,00","900,00","900,00","-2,81",100.0,90.000
21.2.2019,"926,00","926,00","926,00","926,00","0,00",4.0,3.704
18.2.2019,"926,00","926,00","926,00","926,00","-9,92",10.0,9.260
06.2.2019,"1.028,00","1.028,00","1.028,00","1.028,00","-9,98",5.0,5.140
09.1.2019,"1.142,00","1.142,00","1.142,00","1.142,00","-9,37",98.0,111.916
13.12.2018,"1.260,00","1.260,00","1.260,00","1.260,00","-10,00",2.0,2.520
05.12.2018,"1.400,00","1.400,00","1.400,00","1.400,00","0,00",490.0,686.000
04.12.2018,"1.400,00","1.400,00","1.400,00","1.400,00","0,00",186.0,260.400
03.12.2018,"1.400,00","1.400,00","1.400,00","1.400,00","2,05",1.099,1.538.600
30.11.2018,"1.376,00","1.376,00","1.370,00","1.371,92","3,68",13.0,17.835
29.11.2018,"1.323,00","1.324,00","1.323,00","1.323,27","0,02",253.0,334.787
28.11.2018,"1.323,00","1.323,00","1.323,00","1.323,00","0,00",105.0,138.915
27.11.2018,"1.323,00","1.323,00","1.323,00","1.323,00","0,72",20.0,26.460
26.11.2018,"1.321,00","1.321,00","1.300,00","1.313,55","-7,95",221.0,290.294
23.11.2018,"1.427,00","1.427,00","1.427,00","1.427,00","9,60",10.0,14.270
22.11.2018,"1.302,00","1.302,00","1.302,00","1.302,00","0,08",87.0,113.274
21.11.2018,"1.301,00","1.301,00","1.301,00","1.301,00","0,25",108.0,140.508
20.11.2018,"1.300,00","1.300,00","1.292,00","1.297,80","3,41",375.0,486.676
19.11.2018,"1.255,00","1.255,00","1.255,00","1.255,00","0,08",7.0,8.785
16.11.2018,"1.254,00","1.254,00","1.254,00","1.254,00","-2,15",1.0,1.254.000
15.11.2018,"1.297,00","1.297,00","1.266,00","1.281,50","1,74",300.0,384.450
14.11.2018,"1.266,00","1.266,00","1.249,00","1.259,61","2,41",1.175,1.480.046
13.11.2018,"1.230,00","1.230,00","1.230,00","1.230,00","-1,60",550.0,676.500
12.11.2018,"1.250,00","1.250,00","1.250,00","1.250,00","0,62",400.0,500.000
09.11.2018,"1.210,00","1.250,00","1.210,00","1.242,31","0,05",130.0,161.500
07.11.2018,"1.250,00","1.250,00","1.211,00","1.241,64","3,45",235.0,291.785
05.11.2018,"1.201,00","1.201,00","1.200,00","1.200,27","0,02",387.0,464.503
31.10.2018,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",73.0,87.600
30.10.2018,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",136.0,163.200
29.10.2018,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",379.0,454.800
24.10.2018,"1.200,00","1.200,00","1.200,00","1.200,00","0,73",100.0,120.000
22.10.2018,"1.201,00","1.201,00","1.180,00","1.191,32","8,30",526.0,626.632
19.10.2018,"1.100,00","1.100,00","1.100,00","1.100,00","0,00",10.0,11.000
18.10.2018,"1.100,00","1.100,00","1.100,00","1.100,00","0,00",6.0,6.600
17.10.2018,"1.100,00","1.100,00","1.100,00","1.100,00","1,85",150.0,165.000
15.10.2018,"1.080,00","1.080,00","1.080,00","1.080,00","-10,00",181.0,195.480
08.10.2018,"1.200,00","1.200,00","1.200,00","1.200,00","0,05",11.0,13.200
05.10.2018,"1.200,00","1.200,00","1.190,00","1.199,38","-0,51",800.0,959.500
04.10.2018,"1.200,00","1.220,00","1.200,00","1.205,56","-3,94",180.0,217.000
03.10.2018,"1.255,00","1.255,00","1.255,00","1.255,00","-2,94",698.0,875.990
28.9.2018,"1.263,00","1.299,00","1.263,00","1.293,07","2,22",358.0,462.918
27.9.2018,"1.265,00","1.265,00","1.265,00","1.265,00","-1,99",40.0,50.600
26.9.2018,"1.330,00","1.330,00","1.249,00","1.290,70","6,42",341.0,440.129
25.9.2018,"1.249,00","1.249,00","1.170,00","1.212,88","4,74",663.0,804.139
21.9.2018,"1.158,00","1.158,00","1.158,00","1.158,00","0,73",22.0,25.476
12.9.2018,"1.150,00","1.150,00","1.149,00","1.149,65","0,85",282.0,324.200
11.9.2018,"1.140,00","1.140,00","1.140,00","1.140,00","2,61",100.0,114.000
10.9.2018,"1.111,00","1.111,00","1.111,00","1.111,00","0,20",200.0,222.200
07.9.2018,"1.111,00","1.111,00","1.100,00","1.108,80","0,71",120.0,133.056
06.9.2018,"1.101,00","1.101,00","1.101,00","1.101,00","4,84",424.0,466.824
05.9.2018,"1.050,00","1.051,00","1.050,00","1.050,20","0,02",166.0,174.333
29.8.2018,"1.050,00","1.050,00","1.050,00","1.050,00","0,00",597.0,626.850
27.8.2018,"1.050,00","1.050,00","1.050,00","1.050,00","0,00",30.0,31.500
23.8.2018,"1.050,00","1.050,00","1.050,00","1.050,00","2,16",20.0,21.000
22.8.2018,"1.030,00","1.030,00","1.025,00","1.027,77","-1,64",224.0,230.220
20.8.2018,"1.050,00","1.050,00","1.025,00","1.044,90","1,37",359.0,375.120
16.8.2018,"1.030,00","1.031,00","1.030,00","1.030,75","0,07",80.0,82.460
15.8.2018,"1.030,00","1.030,00","1.030,00","1.030,00","0,00",147.0,151.410
14.8.2018,"1.030,00","1.030,00","1.030,00","1.030,00","1,75",282.0,290.460
09.8.2018,"1.000,00","1.030,00","1.000,00","1.012,31","-1,72",91.0,92.120
07.8.2018,"1.030,00","1.030,00","1.030,00","1.030,00","3,00",64.0,65.920
06.8.2018,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",70.0,70.000
01.8.2018,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",100.0,100.000
31.7.2018,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",30.0,30.000
30.7.2018,"1.000,00","1.000,00","1.000,00","1.000,00","-0,25",75.0,75.000
27.7.2018,"1.010,00","1.010,00","1.000,00","1.002,51","5,53",199.0,199.500
26.7.2018,"950,00","950,00","950,00","950,00","2,15",210.0,199.500
