Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
08.11.2024,"135,00","135,00","135,00","135,00","0,00",678.0,91.530
07.11.2024,"135,00","135,00","135,00","135,00","1,76",988.0,133.380
06.11.2024,"132,00","133,00","132,00","132,66","-1,73",623.0,82.646
01.11.2024,"135,00","135,00","135,00","135,00","0,00",850.0,114.750
29.10.2024,"135,00","135,00","135,00","135,00","0,00",927.0,125.145
25.10.2024,"135,00","135,00","135,00","135,00","0,00",2.513,339.255
24.10.2024,"135,00","135,00","135,00","135,00","1,50",950.0,128.250
22.10.2024,"133,00","133,00","133,00","133,00","-1,48",90.0,11.970
17.10.2024,"135,00","135,00","135,00","135,00","-0,47",1.0,135.000
09.10.2024,"135,00","136,00","135,00","135,64","-0,26",700.0,94.950
07.10.2024,"136,00","136,00","136,00","136,00","0,00",250.0,34.000
03.10.2024,"136,00","136,00","136,00","136,00","-1,90",100.0,13.600
02.10.2024,"140,00","140,00","137,00","138,63","-0,98",1.835,254.395
01.10.2024,"140,00","140,00","140,00","140,00","3,70",300.0,42.000
25.9.2024,"135,00","135,00","135,00","135,00","2,27",1.74,234.900
24.9.2024,"132,00","132,00","132,00","132,00","0,00",120.0,15.840
19.9.2024,"132,00","132,00","132,00","132,00","-1,49",209.0,27.588
18.9.2024,"134,00","134,00","134,00","134,00","-2,88",190.0,25.460
13.9.2024,"139,00","139,00","136,00","137,98","2,21",440.0,60.710
06.9.2024,"135,00","135,00","135,00","135,00","0,00",445.0,60.075
05.9.2024,"135,00","135,00","135,00","135,00","0,00",400.0,54.000
29.8.2024,"135,00","135,00","135,00","135,00","0,00",350.0,47.250
27.8.2024,"135,00","135,00","135,00","135,00","0,00",793.0,107.055
23.8.2024,"135,00","135,00","135,00","135,00","-2,88",175.0,23.625
12.8.2024,"139,00","139,00","139,00","139,00","-0,71",5.1,708.900
05.8.2024,"140,00","140,00","140,00","140,00","0,00",457.0,63.980
31.7.2024,"140,00","140,00","140,00","140,00","-4,11",457.0,63.980
30.7.2024,"146,00","146,00","146,00","146,00","4,29",90.0,13.140
29.7.2024,"140,00","140,00","140,00","140,00","0,00",5.671,793.940
26.7.2024,"140,00","140,00","140,00","140,00","0,00",1.76,246.400
24.7.2024,"140,00","140,00","140,00","140,00","2,19",200.0,28.000
23.7.2024,"137,00","137,00","137,00","137,00","-0,38",543.0,74.391
22.7.2024,"138,00","138,00","135,00","137,52","4,18",1.244,171.072
18.7.2024,"132,00","132,00","132,00","132,00","-3,39",900.0,118.800
17.7.2024,"136,00","137,00","136,00","136,63","0,46",1.325,181.035
15.7.2024,"136,00","136,00","136,00","136,00","-0,58",9.0,1.224.000
05.7.2024,"138,00","138,00","136,00","136,80","1,33",836.0,114.368
04.7.2024,"135,00","135,00","135,00","135,00","-2,88",1.0,135.000
19.6.2024,"139,00","139,00","139,00","139,00","0,00",100.0,13.900
13.6.2024,"139,00","139,00","139,00","139,00","-2,48",1.0,139.000
07.6.2024,"143,00","143,00","133,00","142,54","9,65",36.757,5.239.356
30.5.2024,"130,00","130,00","130,00","130,00","-0,31",3.146,408.980
27.5.2024,"130,00","131,00","130,00","130,40","-0,46",2.334,304.360
23.5.2024,"131,00","131,00","131,00","131,00","-1,50",1.0,131.000
17.5.2024,"133,00","133,00","133,00","133,00","2,06",172.0,22.876
16.5.2024,"130,00","131,00","130,00","130,31","0,24",1.951,254.239
13.5.2024,"130,00","130,00","130,00","130,00","-0,76",1.223,158.990
09.5.2024,"131,00","131,00","131,00","131,00","0,36",500.0,65.500
