Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
08.11.2024,"410,00","410,00","407,00","408,47","-0,44",1.146,468.110
07.11.2024,"410,00","411,00","410,00","410,29","-1,13",700.0,287.200
06.11.2024,"415,00","415,00","415,00","415,00","-0,72",504.0,209.160
05.11.2024,"418,00","418,00","418,00","418,00","-0,48",13.0,5.434
01.11.2024,"420,00","420,00","420,00","420,00","2,42",164.0,68.880
31.10.2024,"410,00","420,00","410,00","410,07","-1,43",1.452,595.420
30.10.2024,"417,00","420,00","415,00","416,02","-2,57",5.064,2.106.748
28.10.2024,"427,00","427,00","427,00","427,00","2,15",15.0,6.405
25.10.2024,"418,00","418,00","418,00","418,00","-2,56",412.0,172.216
24.10.2024,"429,00","429,00","429,00","429,00","-0,23",135.0,57.915
18.10.2024,"430,00","430,00","430,00","430,00","2,04",38.0,16.340
16.10.2024,"415,00","436,00","415,00","421,42","-3,57",288.0,121.368
10.10.2024,"437,00","437,00","437,00","437,00","0,00",50.0,21.850
08.10.2024,"437,00","437,00","437,00","437,00","7,90",100.0,43.700
07.10.2024,"405,00","405,00","405,00","405,00","0,29",200.0,81.000
04.10.2024,"400,00","415,00","400,00","403,83","-1,50",600.0,242.300
03.10.2024,"410,00","410,00","410,00","410,00","-1,20",200.0,82.000
02.10.2024,"415,00","415,00","415,00","415,00","1,11",1.435,595.525
01.10.2024,"410,00","415,00","410,00","410,45","0,14",220.0,90.300
27.9.2024,"415,00","415,00","409,00","409,86","1,20",350.0,143.450
26.9.2024,"405,00","405,00","405,00","405,00","1,17",140.0,56.700
24.9.2024,"400,00","405,00","400,00","400,33","-2,36",750.0,300.250
23.9.2024,"410,00","410,00","410,00","410,00","0,00",100.0,41.000
19.9.2024,"410,00","410,00","410,00","410,00","0,00",234.0,95.940
18.9.2024,"410,00","410,00","410,00","410,00","1,23",88.0,36.080
17.9.2024,"405,00","405,00","405,00","405,00","-0,31",1.904,771.120
16.9.2024,"405,00","410,00","405,00","406,25","-0,59",751.0,305.095
13.9.2024,"408,00","415,00","407,00","408,65","0,19",2.983,1.219.005
11.9.2024,"410,00","410,00","405,00","407,86","0,49",700.0,285.500
06.9.2024,"405,00","407,00","405,00","405,87","-0,33",707.0,286.949
03.9.2024,"412,00","412,00","407,00","407,20","-0,29",1.22,496.790
02.9.2024,"408,00","409,00","408,00","408,40","-0,40",500.0,204.200
30.8.2024,"410,00","414,00","410,00","410,06","-0,04",316.0,129.580
29.8.2024,"410,00","414,00","410,00","410,24","-0,15",616.0,252.710
27.8.2024,"410,00","414,00","410,00","410,86","0,21",1.4,575.200
26.8.2024,"410,00","410,00","410,00","410,00","-0,01",694.0,284.540
23.8.2024,"410,00","414,00","410,00","410,05","-0,25",1.108,454.332
22.8.2024,"410,00","415,00","406,00","411,08","0,95",1.98,813.935
20.8.2024,"407,00","413,00","407,00","407,21","-1,40",1.618,658.864
16.8.2024,"413,00","413,00","413,00","413,00","0,00",16.0,6.608
14.8.2024,"413,00","413,00","413,00","413,00","0,49",111.0,45.843
12.8.2024,"411,00","411,00","411,00","411,00","0,00",262.0,107.682
09.8.2024,"411,00","411,00","411,00","411,00","0,98",26.0,10.686
08.8.2024,"407,00","407,00","407,00","407,00","-0,31",200.0,81.400
07.8.2024,"411,00","411,00","406,00","408,26","-0,67",310.0,126.560
06.8.2024,"411,00","411,00","411,00","411,00","-0,08",1.298,533.478
05.8.2024,"410,00","412,00","410,00","411,33","-1,36",1.5,617.000
01.8.2024,"417,00","417,00","417,00","417,00","0,00",88.0,36.696
31.7.2024,"417,00","417,00","417,00","417,00","-0,24",853.0,355.701
30.7.2024,"418,00","418,00","418,00","418,00","-0,21",1.511,631.598
29.7.2024,"419,00","419,00","418,00","418,87","0,06",1.446,605.679
25.7.2024,"419,00","419,00","418,00","418,61","0,06",600.0,251.165
