Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
07.11.2024,"2.635,00","2.635,00","2.635,00","2.635,00","-2,98",160.0,421.600
08.10.2024,"2.716,00","2.716,00","2.716,00","2.716,00","-3,00",70.0,190.120
13.9.2024,"2.800,00","2.800,00","2.800,00","2.800,00","-1,75",40.0,112.000
06.9.2024,"2.850,00","2.850,00","2.850,00","2.850,00","0,00",17.0,48.450
03.9.2024,"2.850,00","2.850,00","2.850,00","2.850,00","-1,69",50.0,142.500
30.8.2024,"2.899,00","2.899,00","2.899,00","2.899,00","-1,73",95.0,275.405
15.8.2024,"2.950,00","2.950,00","2.950,00","2.950,00","-0,41",1.0,2.950
08.8.2024,"2.962,00","2.962,00","2.962,00","2.962,00","-2,97",60.0,177.720
31.7.2024,"3.149,00","3.150,00","2.870,00","3.052,67","6,36",903.0,2.756.561
25.7.2024,"2.870,00","2.870,00","2.870,00","2.870,00","0,00",22.0,63.140
24.7.2024,"2.870,00","2.870,00","2.870,00","2.870,00","0,00",2.0,5.740
19.7.2024,"2.870,00","2.870,00","2.870,00","2.870,00","-3,37",10.0,28.700
17.7.2024,"2.970,00","2.970,00","2.970,00","2.970,00","10,00",2.0,5.940
15.7.2024,"2.700,00","2.700,00","2.700,00","2.700,00","-10,00",7.0,18.900
14.6.2024,"3.000,00","3.000,00","3.000,00","3.000,00","7,18",5.0,15.000
13.6.2024,"2.799,00","2.799,00","2.799,00","2.799,00","1,78",20.0,55.980
12.6.2024,"2.750,00","2.750,00","2.750,00","2.750,00","0,36",669.0,1.839.750
11.6.2024,"2.740,00","2.740,00","2.740,00","2.740,00","1,44",82.0,224.680
05.6.2024,"2.701,00","2.701,00","2.701,00","2.701,00","-0,55",5.0,13.505
03.6.2024,"2.716,00","2.716,00","2.716,00","2.716,00","-3,00",122.0,331.352
31.5.2024,"2.800,00","2.800,00","2.800,00","2.800,00","0,00",400.0,1.120.000
27.5.2024,"2.800,00","2.800,00","2.800,00","2.800,00","-2,13",128.0,358.400
15.5.2024,"2.861,00","2.861,00","2.861,00","2.861,00","-2,98",82.0,234.602
02.5.2024,"2.949,00","2.949,00","2.949,00","2.949,00","-0,67",33.0,97.317
26.4.2024,"2.969,00","2.969,00","2.969,00","2.969,00","2,38",11.0,32.659
25.4.2024,"2.900,00","2.900,00","2.900,00","2.900,00","0,66",100.0,290.000
