Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
08.11.2024,"6.600,00","6.600,00","6.600,00","6.600,00","-1,49",1.0,6.600
15.10.2024,"6.700,00","6.700,00","6.700,00","6.700,00","-0,74",27.0,180.900
14.10.2024,"6.750,00","6.750,00","6.750,00","6.750,00","0,75",22.0,148.500
13.9.2024,"6.700,00","6.700,00","6.700,00","6.700,00","0,00",34.0,227.800
15.8.2024,"6.700,00","6.700,00","6.700,00","6.700,00","0,00",10.0,67.000
13.8.2024,"6.700,00","6.700,00","6.700,00","6.700,00","0,00",35.0,234.500
12.7.2024,"6.700,00","6.700,00","6.700,00","6.700,00","0,00",10.0,67.000
09.7.2024,"6.700,00","6.700,00","6.700,00","6.700,00","0,00",19.0,127.300
08.7.2024,"6.700,00","6.700,00","6.700,00","6.700,00","0,00",21.0,140.700
28.6.2024,"6.700,00","6.700,00","6.700,00","6.700,00","0,01",10.0,67.000
31.5.2024,"6.699,00","6.699,00","6.699,00","6.699,00","0,74",70.0,468.930
23.5.2024,"6.650,00","6.650,00","6.650,00","6.650,00","1,51",51.0,339.150
07.5.2024,"6.551,00","6.551,00","6.551,00","6.551,00","0,78",50.0,327.550
29.3.2024,"6.500,00","6.500,00","6.500,00","6.500,00","1,56",5.0,32.500
28.3.2024,"6.400,00","6.400,00","6.400,00","6.400,00","0,44",50.0,320.000
22.3.2024,"6.372,00","6.372,00","6.372,00","6.372,00","2,74",50.0,318.600
20.3.2024,"6.202,00","6.202,00","6.202,00","6.202,00","0,03",25.0,155.050
19.3.2024,"6.200,00","6.200,00","6.200,00","6.200,00","-0,34",100.0,620.000
08.3.2024,"6.221,00","6.221,00","6.221,00","6.221,00","0,32",100.0,622.100
07.3.2024,"6.201,00","6.201,00","6.201,00","6.201,00","0,80",15.0,93.015
27.2.2024,"6.152,00","6.152,00","6.152,00","6.152,00","0,03",141.0,867.432
26.2.2024,"6.150,00","6.150,00","6.150,00","6.150,00","0,82",25.0,153.750
20.2.2024,"6.100,00","6.100,00","6.100,00","6.100,00","0,00",44.0,268.400
19.2.2024,"6.100,00","6.100,00","6.100,00","6.100,00","0,00",5.0,30.500
05.2.2024,"6.100,00","6.100,00","6.100,00","6.100,00","-0,16",48.0,292.800
23.1.2024,"6.110,00","6.110,00","6.110,00","6.110,00","0,15",14.0,85.540
27.12.2023,"6.101,00","6.101,00","6.101,00","6.101,00","0,02",40.0,244.040
26.12.2023,"6.100,00","6.100,00","6.100,00","6.100,00","0,00",113.0,689.300
22.12.2023,"6.100,00","6.100,00","6.100,00","6.100,00","-0,18",61.0,372.100
12.12.2023,"6.111,00","6.111,00","6.111,00","6.111,00","0,18",50.0,305.550
07.12.2023,"6.100,00","6.100,00","6.100,00","6.100,00","1,67",100.0,610.000
09.11.2023,"6.000,00","6.000,00","6.000,00","6.000,00","0,02",4.0,24.000
03.11.2023,"5.999,00","5.999,00","5.999,00","5.999,00","0,00",40.0,239.960
02.11.2023,"5.999,00","5.999,00","5.999,00","5.999,00","4,13",15.0,89.985
26.9.2023,"5.761,00","5.761,00","5.761,00","5.761,00","1,07",36.0,207.396
24.8.2023,"5.700,00","5.700,00","5.700,00","5.700,00","-1,47",114.0,649.800
16.8.2023,"5.785,00","5.785,00","5.785,00","5.785,00","0,96",25.0,144.625
15.8.2023,"5.730,00","5.730,00","5.730,00","5.730,00","0,33",10.0,57.300
28.7.2023,"5.711,00","5.711,00","5.711,00","5.711,00","0,00",50.0,285.550
