Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
27.1.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",105,189.0
21.1.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",73,131.4
01.10.2019,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",47,84.6
06.8.2019,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",27,48.6
16.5.2019,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",38,68.4
07.3.2019,"1.800,00","1.800,00","1.800,00","1.800,00","20,00",75,135.0
14.12.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",28,42.0
01.12.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",45,67.5
29.11.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",41,61.5
23.11.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",108,162.0
15.3.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",56,84.0
31.1.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",43,64.5
26.1.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",25,37.5
23.1.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",48,72.0
17.1.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",38,57.0
28.12.2016,"1.500,00","1.500,00","1.500,00","1.500,00","50,00",86,129.0
25.7.2016,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",51,51.0
04.2.2016,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",35,35.0
15.12.2015,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",43,43.0
04.9.2015,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",88,88.0
06.7.2015,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",43,43.0
09.3.2015,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",54,54.0
