Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
08.11.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,26",175.0,341.250
30.10.2024,"1.945,00","1.945,00","1.945,00","1.945,00","-0,05",125.0,243.125
29.10.2024,"1.946,00","1.946,00","1.946,00","1.946,00","0,00",91.0,177.086
28.10.2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",110.0,214.060
18.10.2024,"2.006,00","2.006,00","2.006,00","2.006,00","0,00",3.0,6.018
17.10.2024,"2.006,00","2.006,00","2.006,00","2.006,00","3,53",6.0,12.036
16.10.2024,"1.900,00","1.946,00","1.900,00","1.937,64","-0,43",11.0,21.314
15.10.2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",300.0,583.800
14.10.2024,"2.006,00","2.006,00","2.006,00","2.006,00","8,43",10.0,20.060
10.10.2024,"1.850,00","1.850,00","1.850,00","1.850,00","-7,41",165.0,305.250
09.10.2024,"1.998,00","1.998,00","1.998,00","1.998,00","0,00",10.0,19.980
08.10.2024,"1.998,00","1.998,00","1.998,00","1.998,00","2,46",14.0,27.972
04.10.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,10",16.0,31.200
25.9.2024,"1.920,00","1.972,00","1.920,00","1.947,97","-1,22",760.0,1.480.460
24.9.2024,"1.972,00","1.972,00","1.972,00","1.972,00","6,71",20.0,39.440
23.9.2024,"1.848,00","1.848,00","1.848,00","1.848,00","2,98",57.0,105.336
18.9.2024,"1.800,00","1.800,00","1.790,00","1.794,52","3,31",73.0,131.000
17.9.2024,"1.790,00","1.790,00","1.721,00","1.737,05","-0,46",43.0,74.693
13.9.2024,"1.741,00","1.780,00","1.731,00","1.745,10","1,46",1.423,2.483.271
12.9.2024,"1.720,00","1.720,00","1.720,00","1.720,00","0,00",25.0,43.000
10.9.2024,"1.720,00","1.720,00","1.720,00","1.720,00","-1,21",221.0,380.120
05.9.2024,"1.741,00","1.741,00","1.741,00","1.741,00","0,00",10.0,17.410
30.8.2024,"1.741,00","1.741,00","1.741,00","1.741,00","-2,19",206.0,358.646
29.8.2024,"1.780,00","1.780,00","1.780,00","1.780,00","0,32",100.0,178.000
27.8.2024,"1.760,00","1.781,00","1.760,00","1.774,32","2,56",88.0,156.140
23.8.2024,"1.730,00","1.730,00","1.730,00","1.730,00","0,11",154.0,266.420
22.8.2024,"1.739,00","1.739,00","1.691,00","1.728,13","2,20",53.0,91.591
21.8.2024,"1.691,00","1.691,00","1.691,00","1.691,00","0,00",349.0,590.159
20.8.2024,"1.691,00","1.691,00","1.691,00","1.691,00","5,42",11.0,18.601
16.8.2024,"1.604,00","1.604,00","1.604,00","1.604,00","0,25",31.0,49.724
