Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
05.11.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,88",10.0,72.000
04.11.2024,"7.285,00","7.285,00","7.100,00","7.137,00","-2,02",10.0,71.370
01.11.2024,"7.284,00","7.284,00","7.284,00","7.284,00","2,59",7.0,50.988
21.10.2024,"7.100,00","7.100,00","7.100,00","7.100,00","-1,39",20.0,142.000
17.10.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",11.0,79.200
16.10.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",130.0,936.000
15.10.2024,"7.200,00","7.200,00","7.200,00","7.200,00","-1,22",685.0,4.932.000
01.10.2024,"7.289,00","7.289,00","7.289,00","7.289,00","1,96",10.0,72.890
30.9.2024,"7.150,00","7.150,00","7.149,00","7.149,13","-0,71",287.0,2.051.800
26.9.2024,"7.200,00","7.200,00","7.200,00","7.200,00","2,86",10.0,72.000
25.9.2024,"7.000,00","7.000,00","7.000,00","7.000,00","-0,30",53.0,371.000
24.9.2024,"7.000,00","7.030,00","7.000,00","7.020,91","-1,81",33.0,231.690
19.9.2024,"7.150,00","7.150,00","7.150,00","7.150,00","1,71",500.0,3.575.000
18.9.2024,"7.030,00","7.030,00","7.030,00","7.030,00","0,12",36.0,253.080
16.9.2024,"7.050,00","7.050,00","7.000,00","7.021,43","0,18",35.0,245.750
13.9.2024,"7.000,00","7.149,00","7.000,00","7.008,47","0,46",174.0,1.219.473
12.9.2024,"7.000,00","7.000,00","6.970,00","6.976,38","0,09",127.0,886.000
11.9.2024,"6.970,00","6.970,00","6.970,00","6.970,00","-0,14",50.0,348.500
06.9.2024,"6.980,00","6.980,00","6.980,00","6.980,00","-0,03",80.0,558.400
27.8.2024,"7.000,00","7.000,00","6.900,00","6.982,35","1,93",34.0,237.400
22.8.2024,"6.850,00","6.850,00","6.850,00","6.850,00","-0,72",30.0,205.500
20.8.2024,"6.900,00","6.900,00","6.900,00","6.900,00","-0,73",50.0,345.000
15.8.2024,"6.951,00","6.951,00","6.950,00","6.950,72","0,01",36.0,250.226
14.8.2024,"6.950,00","6.950,00","6.950,00","6.950,00","-0,56",59.0,410.050
12.8.2024,"6.950,00","7.000,00","6.950,00","6.989,00","1,11",50.0,349.450
09.8.2024,"6.900,00","7.100,00","6.900,00","6.912,50","-1,24",16.0,110.600
08.8.2024,"6.999,00","6.999,00","6.999,00","6.999,00","-0,01",20.0,139.980
07.8.2024,"7.000,00","7.000,00","7.000,00","7.000,00","0,00",62.0,434.000
05.8.2024,"7.000,00","7.000,00","7.000,00","7.000,00","-2,20",40.0,280.000
01.8.2024,"7.150,00","7.190,00","7.150,00","7.157,75","-0,45",71.0,508.200
31.7.2024,"7.190,00","7.190,00","7.190,00","7.190,00","0,00",50.0,359.500
30.7.2024,"7.190,00","7.190,00","7.190,00","7.190,00","0,00",50.0,359.500
29.7.2024,"7.200,00","7.200,00","7.180,00","7.190,22","0,14",92.0,661.500
26.7.2024,"7.180,00","7.180,00","7.180,00","7.180,00","-0,26",60.0,430.800
25.7.2024,"7.199,00","7.199,00","7.199,00","7.199,00","-0,01",5.0,35.995
24.7.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",10.0,72.000
23.7.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",4.0,28.800
22.7.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,70",20.0,144.000
18.7.2024,"7.150,00","7.150,00","7.150,00","7.150,00","2,88",3.0,21.450
17.7.2024,"6.950,00","6.950,00","6.950,00","6.950,00","-0,71",32.0,222.400
16.7.2024,"7.000,00","7.000,00","7.000,00","7.000,00","0,36",10.0,70.000
11.7.2024,"7.000,00","7.000,00","6.950,00","6.975,00","0,36",20.0,139.500
05.7.2024,"6.950,00","6.950,00","6.950,00","6.950,00","0,08",40.0,278.000
04.7.2024,"6.900,00","7.000,00","6.900,00","6.944,44","0,64",54.0,375.000
01.7.2024,"6.900,00","6.900,00","6.900,00","6.900,00","2,22",10.0,69.000
28.6.2024,"6.750,00","6.750,00","6.750,00","6.750,00","0,75",20.0,135.000
26.6.2024,"6.700,00","6.700,00","6.700,00","6.700,00","-1,47",6.0,40.200
12.6.2024,"6.800,00","6.800,00","6.800,00","6.800,00","1,49",165.0,1.122.000
10.6.2024,"6.700,00","6.700,00","6.700,00","6.700,00","0,00",101.0,676.700
06.6.2024,"6.700,00","6.700,00","6.700,00","6.700,00","-0,74",40.0,268.000
05.6.2024,"6.750,00","6.750,00","6.750,00","6.750,00","-1,15",45.0,303.750
03.6.2024,"6.800,00","6.850,00","6.800,00","6.828,57","-1,61",70.0,478.000
30.5.2024,"6.940,00","6.940,00","6.940,00","6.940,00","-0,86",25.0,173.500
23.5.2024,"7.000,00","7.000,00","7.000,00","7.000,00","2,16",2.0,14.000
21.5.2024,"6.850,00","6.950,00","6.850,00","6.851,96","-1,69",510.0,3.494.500
16.5.2024,"6.970,00","6.970,00","6.970,00","6.970,00","-2,99",10.0,69.700
15.5.2024,"7.200,00","7.200,00","7.100,00","7.184,62","0,34",325.0,2.335.000
14.5.2024,"7.160,00","7.161,00","7.160,00","7.160,08","-1,24",100.0,716.008
10.5.2024,"7.250,00","7.250,00","7.248,00","7.249,71","0,50",244.0,1.768.930
09.5.2024,"7.245,00","7.245,00","7.200,00","7.213,31","1,31",71.0,512.145
07.5.2024,"7.119,00","7.120,00","7.119,00","7.119,71","-1,58",55.0,391.584
02.5.2024,"7.240,00","7.240,00","7.220,00","7.234,29","0,36",119.0,860.880
30.4.2024,"7.220,00","7.220,00","7.200,00","7.208,42","0,23",190.0,1.369.600
29.4.2024,"7.200,00","7.220,00","7.150,00","7.191,58","-0,18",377.0,2.711.227
26.4.2024,"7.220,00","7.220,00","7.200,00","7.204,90","0,07",102.0,734.900
25.4.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,92",23.0,165.600
23.4.2024,"7.120,00","7.143,00","7.120,00","7.134,50","-1,18",100.0,713.450
22.4.2024,"7.220,00","7.220,00","7.220,00","7.220,00","1,53",20.0,144.400
19.4.2024,"7.111,00","7.111,00","7.111,00","7.111,00","-1,10",10.0,71.110
18.4.2024,"7.190,00","7.190,00","7.190,00","7.190,00","0,00",25.0,179.750
17.4.2024,"7.190,00","7.190,00","7.190,00","7.190,00","0,00",21.0,150.990
16.4.2024,"7.190,00","7.190,00","7.190,00","7.190,00","0,00",4.0,28.760
09.4.2024,"7.190,00","7.190,00","7.190,00","7.190,00","0,00",68.0,488.920
05.4.2024,"7.190,00","7.190,00","7.190,00","7.190,00","-0,14",12.0,86.280
03.4.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,70",30.0,216.000
02.4.2024,"7.150,00","7.150,00","7.150,00","7.150,00","-0,09",10.0,71.500
01.4.2024,"7.400,00","7.400,00","7.050,00","7.156,22","3,23",127.0,908.840
29.3.2024,"6.932,00","6.932,00","6.932,00","6.932,00","0,00",54.0,374.328
28.3.2024,"6.830,00","7.000,00","6.830,00","6.932,00","-0,08",50.0,346.600
26.3.2024,"6.935,00","6.940,00","6.935,00","6.937,50","0,03",20.0,138.750
25.3.2024,"6.930,00","6.940,00","6.930,00","6.935,26","-2,18",19.0,131.770
18.3.2024,"7.090,00","7.090,00","7.090,00","7.090,00","1,00",4.0,28.360
14.3.2024,"7.020,00","7.020,00","7.020,00","7.020,00","-0,19",6.0,42.120
13.3.2024,"7.032,00","7.035,00","7.030,00","7.033,18","-0,66",110.0,773.650
12.3.2024,"7.080,00","7.080,00","7.080,00","7.080,00","-0,27",160.0,1.132.800
05.3.2024,"7.100,00","7.100,00","7.099,00","7.099,50","1,29",20.0,141.990
01.3.2024,"7.009,00","7.009,00","7.009,00","7.009,00","-1,28",10.0,70.090
28.2.2024,"7.100,00","7.100,00","7.100,00","7.100,00","0,00",30.0,213.000
27.2.2024,"7.100,00","7.100,00","7.100,00","7.100,00","0,04",8.0,56.800
26.2.2024,"7.100,00","7.100,00","7.090,00","7.096,97","1,39",66.0,468.400
23.2.2024,"7.000,00","7.000,00","7.000,00","7.000,00","-1,13",49.0,343.000
20.2.2024,"7.080,00","7.080,00","7.080,00","7.080,00","1,14",7.0,49.560
16.2.2024,"7.000,00","7.001,00","7.000,00","7.000,52","-1,40",21.0,147.011
15.2.2024,"7.100,00","7.100,00","7.099,00","7.099,73","1,42",75.0,532.480
12.2.2024,"7.000,00","7.000,00","7.000,00","7.000,00","0,00",20.0,140.000
09.2.2024,"7.000,00","7.000,00","7.000,00","7.000,00","0,00",30.0,210.000
08.2.2024,"7.000,00","7.000,00","7.000,00","7.000,00","-0,51",42.0,294.000
07.2.2024,"6.980,00","7.099,00","6.980,00","7.035,53","-1,81",15.0,105.533
05.2.2024,"7.130,00","7.350,00","7.130,00","7.165,48","2,36",62.0,444.260
02.2.2024,"7.000,00","7.000,00","7.000,00","7.000,00","2,62",12.0,84.000
01.2.2024,"6.752,00","6.960,00","6.752,00","6.821,33","7,74",15.0,102.320
31.1.2024,"6.331,00","6.331,00","6.331,00","6.331,00","0,02",100.0,633.100
30.1.2024,"6.330,00","6.330,00","6.330,00","6.330,00","0,00",25.0,158.250
29.1.2024,"6.330,00","6.330,00","6.330,00","6.330,00","0,34",65.0,411.450
25.1.2024,"6.330,00","6.330,00","6.300,00","6.308,33","0,13",180.0,1.135.500
24.1.2024,"6.300,00","6.300,00","6.300,00","6.300,00","0,00",51.0,321.300
23.1.2024,"6.300,00","6.300,00","6.300,00","6.300,00","1,34",15.0,94.500
18.1.2024,"6.201,00","6.350,00","6.201,00","6.216,57","-1,64",300.0,1.864.970
