Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
14.10.2024,"37.000,00","37.000,00","37.000,00","37.000,00","0,00",3,111.000
03.10.2024,"37.000,00","37.000,00","37.000,00","37.000,00","1,93",5,185.000
11.9.2024,"36.300,00","36.300,00","36.300,00","36.300,00","0,00",8,290.400
05.9.2024,"36.300,00","36.300,00","36.300,00","36.300,00","-0,55",9,326.700
15.8.2024,"36.500,00","36.500,00","36.500,00","36.500,00","0,00",17,620.500
09.8.2024,"36.500,00","36.500,00","36.500,00","36.500,00","-1,75",33,1.204.500
23.7.2024,"37.150,00","37.150,00","37.150,00","37.150,00","0,00",47,1.746.050
22.7.2024,"37.150,00","37.150,00","37.150,00","37.150,00","-0,13",3,111.450
12.6.2024,"37.200,00","37.200,00","37.200,00","37.200,00","1,33",2,74.400
11.6.2024,"36.710,00","36.710,00","36.710,00","36.710,00","0,58",8,293.680
30.5.2024,"36.500,00","36.500,00","36.500,00","36.500,00","0,00",13,474.500
29.5.2024,"36.500,00","36.500,00","36.500,00","36.500,00","0,41",10,365.000
20.5.2024,"36.350,00","36.350,00","36.350,00","36.350,00","0,00",5,181.750
17.5.2024,"36.350,00","36.350,00","36.350,00","36.350,00","0,00",6,218.100
16.5.2024,"36.350,00","36.350,00","36.350,00","36.350,00","0,00",5,181.750
14.5.2024,"36.350,00","36.350,00","36.350,00","36.350,00","0,28",10,363.500
13.5.2024,"36.250,00","36.250,00","36.250,00","36.250,00","0,68",17,616.250
10.5.2024,"36.006,00","36.006,00","36.006,00","36.006,00","0,02",5,180.030
29.4.2024,"36.000,00","36.000,00","36.000,00","36.000,00","15,20",4,144.000
19.3.2024,"31.250,00","31.250,00","31.250,00","31.250,00","-2,34",2,62.500
01.3.2024,"32.000,00","32.000,00","32.000,00","32.000,00","1,11",5,160.000
29.2.2024,"31.650,00","31.650,00","31.650,00","31.650,00","1,28",5,158.250
27.2.2024,"31.251,00","31.251,00","31.251,00","31.251,00","-0,02",1,31.251
26.2.2024,"31.257,00","31.257,00","31.257,00","31.257,00","2,48",10,312.570
07.2.2024,"30.500,00","30.500,00","30.500,00","30.500,00","0,00",3,91.500
30.1.2024,"30.500,00","30.500,00","30.500,00","30.500,00","0,38",10,305.000
07.12.2023,"30.385,00","30.385,00","30.385,00","30.385,00","0,00",4,121.540
04.12.2023,"30.385,00","30.385,00","30.385,00","30.385,00","0,00",5,151.925
28.11.2023,"30.385,00","30.385,00","30.385,00","30.385,00","3,00",6,182.310
14.11.2023,"29.500,00","29.500,00","29.500,00","29.500,00","5,24",8,236.000
10.10.2023,"28.031,00","28.031,00","28.031,00","28.031,00","-3,00",3,84.093
01.9.2023,"28.899,00","28.899,00","28.899,00","28.899,00","15,60",2,57.798
10.7.2023,"25.000,00","25.000,00","25.000,00","25.000,00","-14,38",5,125.000
22.5.2023,"29.200,00","29.200,00","29.200,00","29.200,00","0,00",4,116.800
19.5.2023,"29.201,00","29.201,00","29.201,00","29.201,00","0,69",6,175.206
24.4.2023,"29.000,00","29.000,00","29.000,00","29.000,00","-2,85",5,145.000
11.1.2023,"29.850,00","29.850,00","29.850,00","29.850,00","2,93",6,179.100
24.11.2022,"29.000,00","29.000,00","29.000,00","29.000,00","0,00",14,406.000
23.11.2022,"29.000,00","29.000,00","29.000,00","29.000,00","0,00",50,1.450.000
22.11.2022,"29.000,00","29.000,00","29.000,00","29.000,00","0,00",14,406.000
21.11.2022,"29.000,00","29.000,00","29.000,00","29.000,00","0,00",5,145.000
