Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
31.10.2024,"10.101,00","10.101,00","10.101,00","10.101,00","0,00",5,50.505
22.10.2024,"10.101,00","10.101,00","10.101,00","10.101,00","-0,15",5,50.505
06.9.2024,"10.116,00","10.116,00","10.116,00","10.116,00","0,15",5,50.580
03.9.2024,"10.101,00","10.101,00","10.101,00","10.101,00","0,01",10,101.010
29.8.2024,"10.100,00","10.100,00","10.100,00","10.100,00","0,88",5,50.500
14.8.2024,"10.012,00","10.012,00","10.012,00","10.012,00","0,01",10,100.120
22.7.2024,"10.011,00","10.011,00","10.011,00","10.011,00","0,11",10,100.110
16.7.2024,"10.000,00","10.000,00","10.000,00","10.000,00","-9,08",15,150.000
07.6.2024,"10.999,00","10.999,00","10.999,00","10.999,00","9,88",5,54.995
12.4.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,09",10,100.100
08.4.2024,"10.001,00","10.001,00","10.001,00","10.001,00","0,01",20,200.020
21.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",62,620.000
12.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",30,300.000
07.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",400,4.000.000
05.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",106,1.060.000
23.2.2024,"10.000,00","10.000,00","10.000,00","10.000,00","-0,02",110,1.100.000
22.2.2024,"10.002,00","10.002,00","10.002,00","10.002,00","-6,52",30,300.060
13.12.2023,"10.700,00","10.700,00","10.700,00","10.700,00","-1,38",9,96.300
06.9.2023,"10.850,00","10.850,00","10.850,00","10.850,00","-1,36",30,325.500
18.7.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",50,550.000
12.7.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",115,1.265.000
22.6.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",105,1.155.000
12.6.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",95,1.045.000
17.5.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",20,220.000
09.5.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",20,220.000
05.5.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",30,330.000
20.4.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",10,110.000
23.3.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",8,88.000
16.3.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",30,330.000
20.2.2023,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",20,220.000
