Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
28.6.2023,"7.838,00","7.838,00","7.838,00","7.838,00","0,00",116,909.208
11.4.2023,"7.838,00","7.838,00","7.838,00","7.838,00","-21,62",80,627.040
03.1.2022,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",248,2.480.000
20.8.2021,"10.000,00","10.000,00","10.000,00","10.000,00","-9,09",116,1.160.000
24.6.2021,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",62,682.000
05.5.2021,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",120,1.320.000
12.11.2020,"11.000,00","11.000,00","11.000,00","11.000,00","-24,86",90,990.000
26.2.2020,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",136,1.991.040
01.8.2019,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",32,468.480
05.2.2019,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",28,409.920
12.12.2018,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",30,439.200
08.10.2018,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",8,117.120
05.9.2018,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",84,1.229.760
19.4.2018,"14.640,00","14.640,00","14.640,00","14.640,00","2,74",32,468.480
16.4.2018,"14.250,00","14.250,00","14.250,00","14.250,00","0,00",12,171.000
07.3.2018,"14.250,00","14.250,00","14.250,00","14.250,00","4,93",1,14.250
12.2.2018,"13.580,00","13.580,00","13.580,00","13.580,00","-3,00",4,54.320
25.7.2017,"14.000,00","14.000,00","14.000,00","14.000,00","0,00",20,280.000
21.7.2017,"14.000,00","14.000,00","14.000,00","14.000,00","514,04",52,728.000
18.11.2016,"2.280,00","2.280,00","2.280,00","2.280,00","-2,98",8,18.240
12.2.2015,"2.350,00","2.350,00","2.350,00","2.350,00","-39,74",36,84.600
23.12.2014,"3.900,00","3.900,00","3.900,00","3.900,00","0,00",8,31.200
