Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
04.3.2022,"1.002,00","1.002,00","1.002,00","1.002,00","2,98",1.165,1.167.330
25.6.2020,"973,00","973,00","973,00","973,00","2,96",810.0,788.130
11.4.2019,"945,00","945,00","945,00","945,00","0,00",105.0,99.225
12.6.2018,"945,00","945,00","945,00","945,00","0,00",79.0,74.655
29.11.2017,"945,00","945,00","945,00","945,00","0,00",176.0,166.320
15.8.2017,"945,00","945,00","945,00","945,00","0,00",149.0,140.805
06.4.2017,"945,00","945,00","945,00","945,00","0,00",205.0,193.725
19.5.2016,"945,00","945,00","945,00","945,00","16,67",96.0,90.720
29.3.2016,"810,00","810,00","810,00","810,00","-14,29",1.855,1.502.550
16.11.2015,"945,00","945,00","945,00","945,00","0,00",47.0,44.415
30.7.2015,"945,00","945,00","945,00","945,00","0,00",143.0,135.135
08.5.2015,"945,00","945,00","945,00","945,00","0,00",101.0,95.445
13.1.2015,"945,00","945,00","945,00","945,00","0,00",114.0,107.730
