Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
30.10.2024,"80,00","80,00","80,00","80,00","0,00",75.0,6.0
13.3.2024,"80,00","80,00","80,00","80,00","0,00",102.0,8.16
01.11.2023,"80,00","80,00","80,00","80,00","-29,82",2.066,165.28
13.9.2023,"114,00","114,00","114,00","114,00","0,00",294.0,33.516
27.10.2022,"114,00","114,00","114,00","114,00","0,00",280.0,31.92
21.10.2022,"114,00","114,00","114,00","114,00","-2,56",200.0,22.8
19.10.2022,"117,00","117,00","117,00","117,00","-2,50",500.0,58.5
27.9.2022,"120,00","120,00","120,00","120,00","-6,25",500.0,60.0
26.9.2022,"128,00","128,00","128,00","128,00","-1,54",500.0,64.0
23.9.2022,"130,00","130,00","130,00","130,00","-23,53",500.0,65.0
18.5.2021,"170,00","170,00","170,00","170,00","0,59",1.148,195.16
03.3.2021,"169,00","169,00","169,00","169,00","9,03",185.0,31.265
10.2.2021,"155,00","155,00","155,00","155,00","0,00",468.0,72.54
03.2.2021,"155,00","155,00","155,00","155,00","0,00",200.0,31.0
29.1.2021,"155,00","155,00","155,00","155,00","0,00",200.0,31.0
28.1.2021,"155,00","155,00","155,00","155,00","0,00",200.0,31.0
13.1.2021,"155,00","155,00","155,00","155,00","0,00",351.0,54.405
25.12.2020,"155,00","155,00","155,00","155,00","-4,32",200.0,31.0
18.11.2020,"162,00","162,00","162,00","162,00","-2,99",500.0,81.0
10.8.2020,"167,00","167,00","167,00","167,00","-14,36",248.0,41.416
27.4.2020,"195,00","195,00","195,00","195,00","0,00",217.0,42.315
17.1.2020,"195,00","195,00","195,00","195,00","2,63",200.0,39.0
13.1.2020,"190,00","190,00","190,00","190,00","9,20",100.0,19.0
23.12.2019,"174,00","174,00","174,00","174,00","16,00",122.0,21.228
19.12.2019,"150,00","150,00","150,00","150,00","0,00",50.0,7.5
13.12.2019,"150,00","150,00","150,00","150,00","8,70",500.0,75.0
29.11.2019,"138,00","138,00","138,00","138,00","2,99",500.0,69.0
27.11.2019,"134,00","134,00","134,00","134,00","-0,74",1.0,134.0
26.11.2019,"135,00","135,00","135,00","135,00","-25,00",326.0,44.01
26.8.2019,"180,00","180,00","180,00","180,00","-26,53",253.0,45.54
23.5.2019,"245,00","245,00","245,00","245,00","-2,51",204.0,49.98
19.2.2019,"254,00","254,00","246,00","251,30","2,15",892.0,224.161
15.2.2019,"246,00","246,00","246,00","246,00","0,04",300.0,73.8
14.2.2019,"246,00","246,00","245,00","245,89","-0,04",906.0,222.778
13.2.2019,"246,00","246,00","246,00","246,00","-2,77",100.0,24.6
12.2.2019,"253,00","253,00","253,00","253,00","10,00",238.0,60.214
11.2.2019,"230,00","230,00","230,00","230,00","0,00",330.0,75.9
26.11.2018,"230,00","230,00","230,00","230,00","-2,13",138.0,31.74
20.11.2018,"235,00","235,00","235,00","235,00","-4,86",200.0,47.0
08.11.2018,"247,00","247,00","247,00","247,00","-5,11",250.0,61.75
30.10.2018,"262,00","262,00","256,00","260,31","2,08",617.0,160.61
29.10.2018,"255,00","255,00","255,00","255,00","-0,39",150.0,38.25
26.10.2018,"256,00","256,00","256,00","256,00","0,00",954.0,244.224
25.10.2018,"256,00","256,00","256,00","256,00","0,00",79.0,20.224
22.10.2018,"256,00","256,00","256,00","256,00","9,87",634.0,162.304
05.10.2018,"233,00","233,00","233,00","233,00","0,00",129.0,30.057
04.10.2018,"233,00","233,00","233,00","233,00","-8,98",231.0,53.823
26.9.2018,"256,00","256,00","256,00","256,00","2,91",109.0,27.904
23.8.2018,"250,00","250,00","241,00","248,76","0,32",290.0,72.14
16.8.2018,"251,00","251,00","247,00","247,97","8,28",207.0,51.329
09.8.2018,"229,00","229,00","229,00","229,00","0,44",160.0,36.64
26.7.2018,"228,00","228,00","228,00","228,00","1,33",271.0,61.788
25.7.2018,"225,00","225,00","225,00","225,00","-10,00",11.0,2.475
20.7.2018,"250,00","250,00","250,00","250,00","0,00",35.0,8.75
18.7.2018,"250,00","250,00","250,00","250,00","5,49",70.0,17.5
11.7.2018,"237,00","237,00","237,00","237,00","-7,42",344.0,81.528
02.7.2018,"256,00","256,00","256,00","256,00","-2,65",250.0,64.0
22.6.2018,"281,00","281,00","256,00","262,98","2,73",402.0,105.716
21.6.2018,"256,00","256,00","256,00","256,00","4,75",50.0,12.8
20.6.2018,"256,00","256,00","240,00","244,39","0,16",584.0,142.724
11.6.2018,"244,00","244,00","244,00","244,00","2,95",70.0,17.08
08.6.2018,"237,00","237,00","237,00","237,00","-7,42",690.0,163.53
05.6.2018,"256,00","256,00","256,00","256,00","-2,77",150.0,38.4
22.5.2018,"269,00","269,00","252,00","263,29","7,47",350.0,92.15
21.5.2018,"245,00","245,00","245,00","245,00","2,94",102.0,24.99
18.5.2018,"238,00","238,00","238,00","238,00","8,18",50.0,11.9
17.5.2018,"220,00","220,00","220,00","220,00","1,27",52.0,11.44
15.5.2018,"220,00","220,00","206,00","217,24","8,62",137.0,29.762
11.5.2018,"200,00","200,00","200,00","200,00","8,11",68.0,13.6
10.5.2018,"185,00","185,00","185,00","185,00","2,78",700.0,129.5
27.4.2018,"180,00","180,00","180,00","180,00","7,33",1.782,320.76
20.4.2018,"167,00","169,00","167,00","167,71","1,64",564.0,94.588
19.4.2018,"165,00","165,00","165,00","165,00","-1,20",562.0,92.73
10.4.2018,"167,00","167,00","167,00","167,00","-0,07",100.0,16.7
28.3.2018,"167,00","168,00","167,00","167,12","-2,27",250.0,41.78
26.3.2018,"171,00","171,00","171,00","171,00","2,76",163.0,27.873
23.3.2018,"166,00","168,00","166,00","166,40","-0,95",367.0,61.068
13.3.2018,"168,00","168,00","168,00","168,00","-4,00",142.0,23.856
09.3.2018,"175,00","175,00","175,00","175,00","-2,78",45.0,7.875
06.3.2018,"180,00","180,00","180,00","180,00","-12,20",118.0,21.24
09.2.2018,"205,00","205,00","205,00","205,00","2,50",1.0,205.0
08.2.2018,"200,00","200,00","200,00","200,00","0,50",155.0,31.0
07.2.2018,"199,00","199,00","199,00","199,00","-7,44",500.0,99.5
02.2.2018,"215,00","215,00","215,00","215,00","-2,71",11.0,2.365
31.1.2018,"221,00","221,00","221,00","221,00","-3,91",360.0,79.56
30.1.2018,"230,00","230,00","230,00","230,00","5,50",310.0,71.3
26.1.2018,"218,00","218,00","218,00","218,00","2,83",795.0,173.31
24.1.2018,"212,00","212,00","212,00","212,00","6,00",300.0,63.6
