Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
07.11.2024,"3.610,00","3.610,00","3.610,00","3.610,00","0,00",10.0,36.100
18.10.2024,"3.610,00","3.610,00","3.610,00","3.610,00","0,00",64.0,231.040
10.10.2024,"3.610,00","3.610,00","3.610,00","3.610,00","0,00",21.0,75.810
08.10.2024,"3.610,00","3.610,00","3.610,00","3.610,00","0,00",22.0,79.420
07.10.2024,"3.610,00","3.610,00","3.610,00","3.610,00","0,00",8.0,28.880
18.9.2024,"3.610,00","3.610,00","3.610,00","3.610,00","0,28",41.0,148.010
13.9.2024,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",8.0,28.800
30.8.2024,"3.600,00","3.600,00","3.600,00","3.600,00","1,41",10.0,36.000
16.8.2024,"3.550,00","3.550,00","3.550,00","3.550,00","0,00",85.0,301.750
15.8.2024,"3.550,00","3.550,00","3.550,00","3.550,00","-1,83",15.0,53.250
31.7.2024,"3.616,00","3.616,00","3.616,00","3.616,00","0,00",27.0,97.632
15.4.2024,"3.616,00","3.616,00","3.616,00","3.616,00","0,33",100.0,361.600
26.3.2024,"3.604,00","3.604,00","3.604,00","3.604,00","0,11",14.0,50.456
15.2.2024,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",40.0,144.000
13.2.2024,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",49.0,176.400
18.1.2024,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",63.0,226.800
09.1.2024,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",50.0,180.000
29.11.2023,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",78.0,280.800
24.11.2023,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",100.0,360.000
08.11.2023,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",207.0,745.200
26.10.2023,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",45.0,162.000
03.10.2023,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",200.0,720.000
13.9.2023,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",19.0,68.400
23.8.2023,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",1.0,3.600
22.8.2023,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",13.0,46.800
12.6.2023,"3.600,00","3.600,00","3.600,00","3.600,00","-0,17",40.0,144.000
07.6.2023,"3.606,00","3.606,00","3.606,00","3.606,00","-2,59",9.0,32.454
22.5.2023,"3.702,00","3.702,00","3.702,00","3.702,00","0,00",20.0,74.040
19.4.2023,"3.702,00","3.702,00","3.702,00","3.702,00","2,52",45.0,166.590
29.3.2023,"3.611,00","3.611,00","3.611,00","3.611,00","0,08",11.0,39.721
24.2.2023,"3.608,00","3.608,00","3.608,00","3.608,00","0,00",25.0,90.200
26.1.2023,"3.608,00","3.608,00","3.608,00","3.608,00","1,49",14.0,50.512
05.1.2023,"3.555,00","3.555,00","3.555,00","3.555,00","3,89",30.0,106.650
29.12.2022,"3.422,00","3.422,00","3.422,00","3.422,00","0,00",10.0,34.220
