Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
08.8.2024,"2.199,00","2.199,00","2.199,00","2.199,00","-2,96",403.0,886.197
06.6.2023,"2.266,00","2.266,00","2.266,00","2.266,00","3,00",1.189,2.694.274
15.4.2022,"2.200,00","2.200,00","2.200,00","2.200,00","-5,05",30.0,66.000
20.7.2021,"2.317,00","2.317,00","2.317,00","2.317,00","0,00",50.0,115.850
30.12.2020,"2.317,00","2.317,00","2.317,00","2.317,00","2,98",183.0,424.011
03.12.2020,"2.250,00","2.250,00","2.250,00","2.250,00","1,26",20.0,45.000
30.11.2020,"2.222,00","2.222,00","2.222,00","2.222,00","1,97",30.0,66.660
24.11.2020,"2.179,00","2.179,00","2.179,00","2.179,00","9,99",20.0,43.580
05.11.2020,"1.981,00","1.981,00","1.981,00","1.981,00","9,99",20.0,39.620
14.10.2020,"1.801,00","1.801,00","1.801,00","1.801,00","0,06",113.0,203.513
06.10.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",25.0,45.000
29.9.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",821.0,1.477.800
24.9.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",223.0,401.400
10.9.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",1.491,2.683.800
12.8.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",50.0,90.000
10.8.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",2.5,4.500.000
28.7.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",2.5,4.500.000
27.7.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",913.0,1.643.400
21.7.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",962.0,1.731.600
14.7.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",5.0,9.000
09.7.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",1.402,2.523.600
10.6.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",19.0,34.200
04.2.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",10.0,18.000
22.1.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",45.0,81.000
21.1.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",167.0,300.600
17.1.2020,"1.800,00","1.800,00","1.800,00","1.800,00","-10,00",50.0,90.000
16.12.2015,"2.000,00","2.000,00","2.000,00","2.000,00","-2,44",10.0,20.000
08.8.2024,"2.199,00","2.199,00","2.199,00","2.199,00","-2,96",403,886.197
